0	0	0	1	1	1
RGD1306820	8.459365	8.637109	8.764892	8.898393	8.984678	8.885867
Ptgfr	7.3286743	7.142725	6.9254937	6.477455	7.164944	6.9386373
Catna1	8.236362	7.961776	8.457536	7.8729467	7.757299	8.111744
Snx2	11.029306	11.3214655	11.237306	11.452943	11.6119995	11.692986
Slc25a25	8.909361	9.717432	9.192783	9.4716215	9.537232	9.095202
Cbln2	3.0532541	3.6334062	3.5384653	3.3356776	4.061084	3.396678
Tmem80	10.001953	10.36737	10.319339	9.949171	10.176576	9.997232
LOC362065	11.978018	11.99655	11.759901	12.392687	12.1924305	12.701754
RGD1564045	9.041423	9.402518	9.146231	9.448377	9.541726	8.935585
Dnah7	9.4819765	9.990389	9.543922	9.596683	10.252915	9.090548
Hexa	11.844817	12.173007	12.073164	12.26135	12.132396	11.851989
Snx14	8.741947	8.482822	8.344736	8.401005	8.399071	8.19783
Cdc2l1	10.882244	10.856863	10.519132	10.804236	10.950435	10.622905
Enpp1	9.470316	9.529714	8.903803	9.716138	9.555295	8.639254
RGD1309660	9.167073	8.644309	8.609246	8.575484	8.779125	8.826503
Gars	11.777293	11.783976	11.805539	11.947819	11.658772	11.990373
Tmem77	11.752411	12.137209	11.838914	12.017239	12.01712	11.87359
Sln	2.9022005	2.7229316	3.2168798	2.8923647	3.192596	2.599743
Fbxo11	10.17238	10.383659	10.127602	10.364975	10.513025	10.331774
Rpo1-1	9.1444235	9.124486	9.186188	9.275676	9.298132	9.733079
LOC498331	10.283521	9.8480215	10.479865	10.1452465	9.710124	10.186832
LOC500872	11.328996	11.363412	10.961051	11.099583	10.996205	11.187649
Dapk1	11.17364	11.263029	11.431652	11.124419	11.517174	11.404971
Rad52b	8.747591	8.820847	9.076758	8.111744	7.8759465	8.291253
Zfp533	6.925689	6.92453	6.8091106	6.752304	6.6902456	6.97958
Baz1a	8.839769	8.96169	8.887174	9.496148	9.129494	9.179661
RGD1309656	9.896834	9.885541	9.400275	10.178924	10.299077	10.177486
Slc30a5	8.939771	8.712035	8.869706	9.046789	8.768484	9.073078
Mrps24	11.860929	11.447559	11.630703	11.272817	11.0606165	11.403664
Lrrc41	9.799357	9.839437	10.176151	9.8961735	9.700295	9.818943
Rit1	8.095374	7.538754	7.8043575	7.3546286	7.450808	7.6137
Bre	11.603175	11.485456	11.527459	11.091766	11.340277	11.373771
Dst	11.408942	11.023944	11.10456	11.271597	11.823367	11.685136
MGC94010	8.763141	8.9493685	8.757098	8.468256	8.711678	8.780896
Arfgap1	8.275181	8.421733	8.530896	8.261202	8.24915	8.226971
LOC311254	7.4202557	7.8479104	7.4220824	7.6536584	7.3342214	7.781387
RGD1561394	9.608191	10.55648	9.612226	10.27231	11.099435	10.105728
LOC294513	8.73201	8.690699	8.905198	8.534011	8.612472	8.596363
Pde4dip	7.4172015	7.711435	7.3293314	7.253808	7.4578404	7.6983356
Mbnl2	8.560213	8.579042	8.081774	8.916238	8.734506	8.543408
Pfkl	6.355151	6.295463	6.162107	9.240376	6.480528	8.657182
Pik3r1	9.290566	9.237067	11.298683	11.131281	10.593516	11.127838
Mical2	5.6239552	5.73919	5.6064167	6.172184	5.745007	5.895142
Tcfl1	10.032702	10.061099	9.865784	9.978768	10.093566	10.0555315
Lgi3	3.3204048	3.4398217	2.3097935	3.3602786	2.1666424	3.3510423
Bnip1	9.63584	9.462518	9.625066	9.278921	8.491892	9.267892
RGD1307103	10.785482	10.626355	10.76395	10.829739	10.2998295	10.65425
Pdcd6	10.667364	10.829739	10.750105	10.8597555	10.976317	11.16672
Parp9	7.658442	7.107259	6.944271	6.996994	7.0805817	6.9432535
Pip5k1a	13.079245	13.33457	13.7691965	13.846657	13.813758	13.283801
Synj1	9.377151	9.461236	9.275125	9.618435	9.55144	9.650117
Nubp1	11.444866	11.027152	11.174394	10.883209	10.557162	10.864699
Map4k3	11.350613	11.336613	11.561588	11.306406	11.269043	11.57701
Per1	9.278269	9.751193	9.38725	8.340892	9.188013	7.99089
Cdc16	8.705671	8.650729	9.019895	8.63497	8.453083	8.355968
Rap1b	7.895198	7.7818403	8.154394	7.9496646	8.045325	8.106056
Ccdc59	10.23917	10.204225	9.933265	9.545872	9.834567	9.918263
C1galt1c1	10.357211	10.523111	10.1226635	10.165957	10.591788	10.415744
Taf11	9.267892	10.309788	10.126183	10.189023	9.9943	10.3105545
Perp	11.115313	11.201791	10.994526	11.459709	11.407477	11.150735
Harpb64	13.19698	13.052011	13.355206	12.8771925	12.77052	12.810185
Ung	10.034785	9.994499	10.320108	10.311293	9.916068	10.012863
RGD1311045	7.668935	6.554694	6.952475	6.7598195	6.9070206	7.018871
Fbxo28	6.629682	6.7934117	6.85829	7.3956943	7.3016586	7.0475664
Rrbp1	9.929028	9.716776	9.813031	10.149568	10.085195	9.61396
Arv1	9.823585	9.6973	9.953477	9.73766	9.370395	9.724596
Ubxd8	8.189941	7.718875	7.774164	7.9067535	7.8723893	7.792853
Wdr12	9.908954	10.010176	10.121954	10.273793	10.012675	10.194088
Mrps5	12.468964	12.540066	12.760809	12.546625	12.263957	12.349096
Tcf7	6.525828	6.197345	5.396423	5.7991815	6.561768	4.8212657
Tspan14	11.325221	11.195889	11.134221	11.095154	10.998329	11.069629
Cyb5b	11.639184	11.616497	11.54303	11.138181	11.120838	11.604668
Btf3	13.041587	12.916948	12.979923	12.939569	12.962458	12.798375
Hpgd	10.64203	10.874447	10.41407	10.048646	0.21617703	10.304523
Hist1h4a	12.7904215	12.215033	12.230438	12.533444	11.875303	12.318187
LOC500488	10.479024	10.151024	10.438751	10.276034	10.756674	9.939775
Dhdds	9.521289	9.48587	9.458517	9.659784	9.377539	9.369336
Pfkfb4	9.95517	9.9223175	9.848719	9.683057	10.329311	9.64683
Psma3l	7.625131	7.2739496	6.9372993	7.502266	7.607231	7.6546025
Ptpn7	5.569326	5.392868	5.3024607	5.4498725	5.4934416	5.228513
Rnpc2	12.419685	12.07771	12.175533	12.095926	12.235178	11.928326
Hddc3	10.824973	10.408734	10.724366	10.158094	9.886667	10.26193
RGD1307433	10.207849	10.2348385	10.378758	10.390719	10.07339	10.056931
Ppp2r4	10.933288	10.835494	10.943576	10.930281	10.469961	10.666459
MGC109145	10.924176	10.736614	11.049154	10.240638	10.039434	10.441179
RGD1308147	9.222662	9.3837185	9.441057	9.376524	9.443591	9.551671
RGD1304696	11.5369835	11.332839	11.727288	11.529954	11.35176	11.524276
Ube2v2	10.349467	10.491124	10.366333	10.107825	10.091449	10.077717
Mpv17l	12.530077	12.580338	11.9839115	0.42674148	12.87709	11.754057
RGD1305235	8.240261	8.117486	7.5751266	8.0399685	7.934368	7.990027
Usp7	10.16525	10.245065	10.611128	10.583433	10.822936	10.380506
RGD1307927	9.2639885	9.536164	9.40288	9.357673	9.715923	9.345315
Gnptag	10.997415	10.865674	10.761208	10.908099	10.795646	10.79206
Ehd4	9.048148	8.788602	8.588326	8.655744	8.505098	8.41506
Usp28	8.553	8.602113	8.554281	7.8416553	8.539395	8.274413
Chp	11.420796	11.420796	11.320089	11.561137	11.296227	11.346779
RGD1306495	10.1310835	10.15521	9.894974	10.250176	10.370246	10.022395
Mterfd3	7.3181267	7.4943185	7.294546	7.377197	6.748806	7.5885644
Cbll1	8.862132	8.874026	8.657268	8.696372	8.812808	8.088852
Trip13	0.38047847	0.08420816	5.5291624	5.8046722	6.3212543	5.849294
Dlgap1	8.254984	8.126398	8.500154	7.992618	7.358034	8.023112
LOC304138	7.995156	8.295833	7.5926614	7.9891915	8.074264	6.976104
Inpp5a	9.455442	9.822927	9.517377	9.47229	9.702238	9.046081
RGD1564042	8.051688	8.252722	8.002112	8.207279	8.617509	8.28358
Ncor1	9.026547	9.027216	8.72005	9.340132	9.013976	8.862132
Anp32e	11.9800625	12.109474	11.910569	11.758925	11.903254	11.649791
Isrip	10.012197	10.026502	10.194234	10.032015	9.992253	10.45562
Treh	11.571276	11.312653	11.072296	12.01517	11.914757	11.891972
Commd7	8.446852	8.354436	8.513261	8.583348	8.205254	8.62642
RGD1306781	7.174405	7.110592	7.0419526	7.4494996	7.4677773	7.4923477
Pvrl2	8.790701	8.5090885	8.423485	8.832779	8.422052	8.616448
Tspan6	9.946512	9.345315	9.127541	9.234481	9.1614485	9.105254
RGD1564982	6.2484508	6.0362554	6.4104247	6.815687	6.445285	6.4647436
Extl2	7.9366426	7.6165752	7.7146897	7.4913597	7.4285693	7.4575295
Brms1	9.968621	9.699863	10.185544	9.6287565	9.46423	9.299697
Ss18	9.714195	9.734375	9.628326	9.802624	9.984032	9.417936
Bysl	8.460131	8.905941	8.863378	8.368846	8.673949	8.479199
Ptdss1	10.713833	10.931292	10.459602	10.655977	10.9565735	10.270827
Hmgn3	11.096276	11.4556265	11.236112	10.891112	10.760347	11.050872
RGD1307493	6.394497	7.1875415	6.2601957	6.6442714	6.7551165	6.6256247
Cdc26	10.491954	10.682391	10.375642	10.832604	10.805032	10.417341
Bcas2	11.1678505	10.96916	11.139942	10.888181	10.831499	10.681503
Agpat6	11.102887	10.836436	10.97147	10.801466	10.665437	10.648921
Nras	8.320347	8.418788	8.298913	8.326444	8.4897375	8.193085
Ddx5	10.160273	9.866338	10.117666	10.0853815	10.889008	10.386006
LOC297530	10.757757	10.628097	10.539896	10.609943	10.460245	10.425302
LOC503164	0.38047847	0.08420816	5.9339404	6.5424876	6.6115074	6.436404
RGD1308279	8.414332	8.414332	8.220542	8.566044	8.480959	8.185163
Rnf7	11.18175	11.211376	11.213409	11.346779	10.925062	11.177101
Pcp2	9.342718	9.581124	9.952119	9.482629	9.3131485	9.561945
Lztr1	9.156419	9.489717	9.408018	8.977442	9.011942	8.8782425
Vps36	10.049337	10.016937	10.309453	10.157372	9.936855	10.340199
Mrps33	11.49371	11.775632	11.647454	11.645265	11.497794	11.569799
