0	0	0	0	0	1	1	1
MGC109149	9.943416	9.664545	9.927044	10.194088	10.343113	9.159039	9.073078	9.160387
Zdhhc3	7.2819657	9.567246	8.705671	8.740513	8.275501	8.617889	9.21007	9.081138
Slc35b3	11.157224	11.322433	11.231672	11.2006235	10.904928	10.6429	10.684152	10.999499
RGD1565536	9.56021	10.188653	10.0853815	10.070168	9.702238	9.659144	9.823585	9.97067
Gpx2	8.954838	8.890737	8.627134	9.033952	8.592367	9.193546	10.289446	9.050863
Cnot2	10.123728	10.266728	10.597049	10.815618	10.360878	9.977407	9.945829	10.289446
Scamp2	10.253479	10.688248	10.468482	10.433246	10.621865	10.87639	10.9433975	10.569036
LOC499745	6.274916	6.902569	5.635629	5.6374946	5.3037505	6.494184	6.541089	6.80466
RGD1308317	8.476916	8.841177	8.516431	8.549301	8.305208	8.426878	8.711334	8.757491
Ahdc1	9.9783745	11.009846	10.423722	10.707483	10.417168	10.151024	10.276774	10.022395
Pkp4	9.523388	10.417796	10.436396	9.832786	9.901968	9.470974	9.536819	9.869638
Txndc12	10.723467	10.043396	10.391516	10.247981	10.232487	10.519846	10.720162	10.672667
Calcrl	9.752063	10.152732	9.882249	9.472941	9.808948	9.171695	9.125146	8.773093
RGD1308907	7.8414025	7.9197574	7.818178	8.094553	8.561287	8.016346	7.8272614	7.7606196
Dcakd	9.469176	10.044091	10.031338	10.013537	10.26617	9.892164	9.852601	9.511001
Ris1	6.2566657	5.295159	5.090044	4.1380334	4.1739035	4.1321955	3.986618	4.439945
LOC498178	10.135651	10.696348	10.383659	10.743016	10.05811	10.760504	10.475745	10.120525
RGD1564603	9.279684	9.605147	9.496782	9.631958	9.760086	9.256822	9.184955	9.101931
Rgs10	6.061644	5.6571684	4.7254167	4.84659	4.7486377	3.8035965	4.295572	4.0904946
RGD1563374	6.7226057	6.099429	5.3822007	5.7447066	6.7210646	5.0550995	6.346281	6.413367
Cipar1	9.346081	10.035772	10.44759	9.395385	10.804083	10.157372	9.388854	9.445771
Imp4	11.419195	10.902752	10.831653	10.774332	10.790978	10.606509	10.639378	10.663859
Zfp260	10.493262	10.034397	10.039629	10.238442	10.271391	10.095152	0.72957313	9.989707
RGD1306820	9.025235	9.003451	8.723401	8.679306	8.750772	9.096534	9.11317	9.177668
Ptgfr	7.7083583	7.1256776	7.1405206	6.6045914	8.106377	6.172184	6.100468	6.359576
Catna1	7.1378536	8.114877	8.155486	7.437293	7.799527	8.237916	8.160372	8.371124
Snx2	11.472975	11.646543	11.658897	11.621017	11.58703	11.442165	11.640718	11.531342
Slc25a25	9.633454	9.223407	9.403797	9.425732	9.227636	11.219686	10.962954	11.037877
Cbln2	3.433911	3.3819103	3.235141	3.9536176	4.055097	2.5313025	2.6554546	3.4150608
Tmem80	10.34294	10.626026	10.797694	10.789237	10.642738	9.364086	9.818943	10.186832
LOC362065	11.585454	12.086525	11.507591	11.290175	11.531215	11.254572	11.288932	11.307646
RGD1564045	8.242464	9.259544	9.193546	9.0075	8.7698965	9.251588	9.5843725	9.4813385
Dnah7	10.444023	9.285446	9.338185	10.150298	9.533343	9.536164	9.693394	9.781094
Hexa	12.237606	12.189862	11.992433	12.540066	12.468844	12.000733	11.975941	12.025741
Snx14	8.524424	9.131903	9.151079	8.553	9.134862	9.4716215	8.897687	9.066363
Cdc2l1	10.539396	10.737227	10.50906	10.315088	10.574754	10.945427	10.618565	10.720162
Enpp1	8.2903805	9.26734	8.481355	9.269863	9.28379	9.212065	9.076449	8.859353
RGD1309660	9.5621195	8.835588	8.384582	8.723401	8.731645	8.315732	8.337095	8.101948
Gars	11.456723	11.508735	11.532695	11.816524	11.853616	11.345497	11.389412	11.8412075
Tmem77	12.334805	12.232476	11.963806	13.026298	12.053501	12.023596	12.084517	12.686877
Sln	4.2842526	4.4553876	4.12924	3.1305928	2.623979	3.709423	3.028083	2.9121041
Fbxo11	10.559478	10.976164	10.67884	10.628947	10.997264	10.334803	0.72957313	10.253096
Rpo1-1	9.977009	9.079853	9.158385	8.800549	8.914539	9.194858	9.256166	9.334265
LOC498331	8.967874	9.40136	9.631958	9.991768	9.949635	10.003314	9.759658	9.7759075
LOC500872	11.440589	11.598506	11.252141	11.639184	11.559562	11.671205	11.30263	11.406295
Dapk1	11.436563	10.222044	10.71112	10.276774	10.379556	10.996357	10.981643	11.283889
