0	0	0	1	1	1
RGD1306820	8.459365	8.637109	8.764892	8.330618	8.213016	8.323382
Ptgfr	7.3286743	7.142725	6.9254937	7.1331058	6.8018513	6.9549284
Catna1	8.236362	7.961776	8.457536	8.486816	8.09718	8.0399685
Snx2	11.029306	11.3214655	11.237306	11.427367	11.594045	11.546832
Slc25a25	8.909361	9.717432	9.192783	9.1222	9.67658	9.427004
Cbln2	3.0532541	3.6334062	3.5384653	3.5473957	4.171458	3.9625869
Tmem80	10.001953	10.36737	10.319339	10.546245	10.163268	10.415744
LOC362065	11.978018	11.99655	11.759901	12.11166	12.214666	12.0492
RGD1564045	9.041423	9.402518	9.146231	9.463572	9.46373	9.202121
Dnah7	9.4819765	9.990389	9.543922	9.705483	9.373808	9.568361
Hexa	11.844817	12.173007	12.073164	12.307027	11.737295	11.813066
Snx14	8.741947	8.482822	8.344736	9.109559	9.062026	8.482822
Cdc2l1	10.882244	10.856863	10.519132	11.198127	10.995903	10.973321
Enpp1	9.470316	9.529714	8.903803	9.207154	9.520571	9.448377
RGD1309660	9.167073	8.644309	8.609246	8.730923	8.81839	8.830682
Gars	11.777293	11.783976	11.805539	11.734253	11.91451	11.700861
Tmem77	11.752411	12.137209	11.838914	11.97994	12.002423	12.019299
Sln	2.9022005	2.7229316	3.2168798	3.2048829	2.5877101	3.3080812
Fbxo11	10.17238	10.383659	10.127602	10.350854	10.38235	10.458026
Rpo1-1	9.1444235	9.124486	9.186188	8.964088	9.246198	9.249615
LOC498331	10.283521	9.8480215	10.479865	9.912046	9.693383	9.438685
LOC500872	11.328996	11.363412	10.961051	11.129994	11.340006	11.185263
Dapk1	11.17364	11.263029	11.431652	10.756674	11.0256405	10.718393
Rad52b	8.747591	8.820847	9.076758	8.711678	8.54589	8.466038
Zfp533	6.925689	6.92453	6.8091106	6.686391	6.9135523	6.613791
Baz1a	8.839769	8.96169	8.887174	8.902845	8.782653	8.853713
RGD1309656	9.896834	9.885541	9.400275	9.961005	10.673957	10.306039
Slc30a5	8.939771	8.712035	8.869706	8.563495	9.504507	8.874026
Mrps24	11.860929	11.447559	11.630703	11.57401	11.341286	11.378986
Lrrc41	9.799357	9.839437	10.176151	9.599628	9.402405	9.475512
Rit1	8.095374	7.538754	7.8043575	7.194248	7.062103	6.790987
Bre	11.603175	11.485456	11.527459	11.38799	11.268758	11.272817
Dst	11.408942	11.023944	11.10456	11.469069	11.56075	11.440856
MGC94010	8.763141	8.9493685	8.757098	8.936642	9.091666	9.095886
Arfgap1	8.275181	8.421733	8.530896	8.421315	8.293717	8.250417
LOC311254	7.4202557	7.8479104	7.4220824	7.1529155	7.662247	7.652738
RGD1561394	9.608191	10.55648	9.612226	10.119624	10.1819935	9.8269205
LOC294513	8.73201	8.690699	8.905198	8.838024	8.3380785	8.763865
Pde4dip	7.4172015	7.711435	7.3293314	7.559655	7.1796885	7.648962
Mbnl2	8.560213	8.579042	8.081774	8.548921	8.992916	8.332545
Pfkl	6.355151	6.295463	6.162107	6.778781	6.0106244	6.439235
Pik3r1	9.290566	9.237067	11.298683	9.791359	11.026707	11.59875
Mical2	5.6239552	5.73919	5.6064167	5.6530056	5.8802695	5.3234305
Tcfl1	10.032702	10.061099	9.865784	10.194624	10.388611	10.405637
Lgi3	3.3204048	3.4398217	2.3097935	2.5790772	3.6061857	3.0152256
Bnip1	9.63584	9.462518	9.625066	9.492075	9.410735	9.358302
RGD1307103	10.785482	10.626355	10.76395	10.750194	10.873038	10.761435
Pdcd6	10.667364	10.829739	10.750105	10.98665	10.810356	10.914104
Parp9	7.658442	7.107259	6.944271	7.2562714	7.650819	7.1250653
Pip5k1a	13.079245	13.33457	13.7691965	13.372682	13.462764	13.4979925
Synj1	9.377151	9.461236	9.275125	9.296845	9.689504	9.705707
Nubp1	11.444866	11.027152	11.174394	10.88702	10.641539	10.911095
Map4k3	11.350613	11.336613	11.561588	0.11246037	11.576629	11.529954
Per1	9.278269	9.751193	9.38725	8.302194	7.820051	7.701161
Cdc16	8.705671	8.650729	9.019895	8.779835	8.099634	8.391266
Rap1b	7.895198	7.7818403	8.154394	8.189478	8.204339	8.307181
Ccdc59	10.23917	10.204225	9.933265	9.895285	9.8111105	9.836778
C1galt1c1	10.357211	10.523111	10.1226635	10.434662	10.873999	10.766927
Taf11	9.267892	10.309788	10.126183	10.079604	10.200036	10.016259
Perp	11.115313	11.201791	10.994526	11.374977	11.295953	11.275233
Harpb64	13.19698	13.052011	13.355206	13.057167	12.526472	13.242923
Ung	10.034785	9.994499	10.320108	10.205504	10.028008	9.866998
RGD1311045	7.668935	6.554694	6.952475	7.8284883	6.86446	6.960853
Fbxo28	6.629682	6.7934117	6.85829	7.3342214	7.0117292	7.1160874
Rrbp1	9.929028	9.716776	9.813031	9.6847515	9.577873	10.081179
Arv1	9.823585	9.6973	9.953477	9.696414	9.815076	9.790912
Ubxd8	8.189941	7.718875	7.774164	7.861678	8.17496	7.8809505
Wdr12	9.908954	10.010176	10.121954	9.884689	9.777837	9.992447
Mrps5	12.468964	12.540066	12.760809	11.945773	11.97557	11.982136
Tcf7	6.525828	6.197345	5.396423	5.795917	7.1192775	6.355151
Tspan14	11.325221	11.195889	11.134221	11.208836	11.608765	11.170155
Cyb5b	11.639184	11.616497	11.54303	11.337757	11.804085	11.511743
Btf3	13.041587	12.916948	12.979923	12.991525	12.868293	12.868601
Hpgd	10.64203	10.874447	10.41407	10.274358	10.210216	10.739368
Hist1h4a	12.7904215	12.215033	12.230438	12.754927	12.766339	12.375033
LOC500488	10.479024	10.151024	10.438751	10.096364	9.909018	9.788926
Dhdds	9.521289	9.48587	9.458517	9.13016	9.367918	9.506497
Pfkfb4	9.95517	9.9223175	9.848719	9.39838	9.467619	9.858521
Psma3l	7.625131	7.2739496	6.9372993	7.6187954	8.017302	7.7467704
Ptpn7	5.569326	5.392868	5.3024607	5.1582737	5.2523947	5.050115
Rnpc2	12.419685	12.07771	12.175533	12.395501	12.35722	12.383701
Hddc3	10.824973	10.408734	10.724366	10.866464	10.339666	10.759584
RGD1307433	10.207849	10.2348385	10.378758	10.369488	10.224047	10.276774
Ppp2r4	10.933288	10.835494	10.943576	10.645332	10.681016	11.095154
MGC109145	10.924176	10.736614	11.049154	10.906962	10.889683	10.514837
RGD1308147	9.222662	9.3837185	9.441057	9.442949	9.308647	9.364738
RGD1304696	11.5369835	11.332839	11.727288	11.432711	11.239601	11.286429
Ube2v2	10.349467	10.491124	10.366333	10.057418	10.139014	10.161689
Mpv17l	12.530077	12.580338	11.9839115	12.118507	12.175037	12.30175
RGD1305235	8.240261	8.117486	7.5751266	7.9560633	8.410868	8.360551
Usp7	10.16525	10.245065	10.611128	10.851802	10.183435	10.189023
RGD1307927	9.2639885	9.536164	9.40288	9.3886	9.503851	9.722657
Gnptag	10.997415	10.865674	10.761208	10.784385	10.947039	10.931292
Ehd4	9.048148	8.788602	8.588326	8.772739	8.970252	9.000675
Usp28	8.553	8.602113	8.554281	8.118628	8.114375	8.525216
Chp	11.420796	11.420796	11.320089	11.187499	11.284737	11.465154
