0	0	0	1	1	1
RGD1306820	8.459365	8.637109	8.764892	8.36313	8.912777	8.889346
Ptgfr	7.3286743	7.142725	6.9254937	7.833902	7.131678	8.018883
Catna1	8.236362	7.961776	8.457536	7.807682	7.879173	7.913808
Snx2	11.029306	11.3214655	11.237306	11.463622	11.030392	11.5369835
Slc25a25	8.909361	9.717432	9.192783	9.5938635	9.4127655	9.097196
Cbln2	3.0532541	3.6334062	3.5384653	4.1264887	0.6854766	3.9625869
Tmem80	10.001953	10.36737	10.319339	9.984032	9.801969	9.838768
LOC362065	11.978018	11.99655	11.759901	11.934033	11.32647	12.125543
RGD1564045	9.041423	9.402518	9.146231	8.995581	9.620998	9.430896
Dnah7	9.4819765	9.990389	9.543922	9.366464	9.427004	9.695975
Hexa	11.844817	12.173007	12.073164	11.532572	11.816524	11.984181
Snx14	8.741947	8.482822	8.344736	8.375253	8.635672	8.932117
Cdc2l1	10.882244	10.856863	10.519132	11.038806	10.967099	11.011201
Enpp1	9.470316	9.529714	8.903803	9.154132	9.760294	9.677881
RGD1309660	9.167073	8.644309	8.609246	8.709556	8.612134	8.730566
Gars	11.777293	11.783976	11.805539	12.269153	12.2201185	12.006939
Tmem77	11.752411	12.137209	11.838914	11.59283	12.044894	11.832376
Sln	2.9022005	2.7229316	3.2168798	2.938373	4.185654	2.388939
Fbxo11	10.17238	10.383659	10.127602	10.634903	10.582601	10.608214
Rpo1-1	9.1444235	9.124486	9.186188	9.564257	9.258802	9.626139
LOC498331	10.283521	9.8480215	10.479865	9.85109	10.305278	9.846031
LOC500872	11.328996	11.363412	10.961051	11.613456	11.503477	11.431519
Dapk1	11.17364	11.263029	11.431652	11.025938	11.466511	10.658611
Rad52b	8.747591	8.820847	9.076758	8.343434	7.881832	8.434975
Zfp533	6.925689	6.92453	6.8091106	7.659707	7.7818403	6.92453
Baz1a	8.839769	8.96169	8.887174	9.301343	9.419226	9.240376
RGD1309656	9.896834	9.885541	9.400275	10.89691	10.452429	10.619449
Slc30a5	8.939771	8.712035	8.869706	9.536579	8.995221	9.329098
Mrps24	11.860929	11.447559	11.630703	11.04534	11.149605	11.150735
Lrrc41	9.799357	9.839437	10.176151	9.511404	9.72073	9.774598
Rit1	8.095374	7.538754	7.8043575	6.979884	0.6854766	6.9620323
Bre	11.603175	11.485456	11.527459	11.163144	11.389412	11.524276
Dst	11.408942	11.023944	11.10456	11.595742	0.6854766	11.481426
MGC94010	8.763141	8.9493685	8.757098	8.145347	8.055	8.421733
Arfgap1	8.275181	8.421733	8.530896	8.381208	8.727728	8.555879
LOC311254	7.4202557	7.8479104	7.4220824	7.9586544	7.002743	7.7643733
RGD1561394	9.608191	10.55648	9.612226	10.147935	10.24944	9.637763
LOC294513	8.73201	8.690699	8.905198	8.213153	8.291253	8.78651
Pde4dip	7.4172015	7.711435	7.3293314	6.938937	6.642984	7.085925
