0	0	0	0	0	1	1
LOC499745	6.274916	6.902569	5.635629	5.6374946	5.3037505	5.9764447	5.8989897
RGD1308317	8.476916	8.841177	8.516431	8.549301	8.305208	8.564939	8.460506
Ahdc1	9.9783745	11.009846	10.423722	10.707483	10.417168	10.805032	10.809971
Pkp4	9.523388	10.417796	10.436396	9.832786	9.901968	10.457856	10.237153
Txndc12	10.723467	10.043396	10.391516	10.247981	10.232487	10.188105	10.277162
Calcrl	9.752063	10.152732	9.882249	9.472941	9.808948	9.959678	10.459492
RGD1308907	7.8414025	7.9197574	7.818178	8.094553	8.561287	8.357068	7.280281
Dcakd	9.469176	10.044091	10.031338	10.013537	10.26617	10.202566	10.152785
Ris1	6.2566657	5.295159	5.090044	4.1380334	4.1739035	4.1948485	4.0757785
LOC498178	10.135651	10.696348	10.383659	10.743016	10.05811	10.862569	10.586571
RGD1564603	9.279684	9.605147	9.496782	9.631958	9.760086	9.442949	9.55911
Rgs10	6.061644	5.6571684	4.7254167	4.84659	4.7486377	4.227425	4.030694
RGD1563374	6.7226057	6.099429	5.3822007	5.7447066	6.7210646	5.7077875	7.4604783
Cipar1	9.346081	10.035772	10.44759	9.395385	10.804083	10.376458	10.370579
Imp4	11.419195	10.902752	10.831653	10.774332	10.790978	11.147173	11.22238
Zfp260	10.493262	10.034397	10.039629	10.238442	10.271391	10.279604	10.29291
RGD1306820	9.025235	9.003451	8.723401	8.679306	8.750772	8.385635	8.97092
Ptgfr	7.7083583	7.1256776	7.1405206	6.6045914	8.106377	7.2963543	8.062959
Catna1	7.1378536	8.114877	8.155486	7.437293	7.799527	8.046164	10.508356
Snx2	11.472975	11.646543	11.658897	11.621017	11.58703	11.778862	11.875107
Slc25a25	9.633454	9.223407	9.403797	9.425732	9.227636	11.1957445	11.48469
Cbln2	3.433911	3.3819103	3.235141	3.9536176	4.055097	2.8390963	3.04407
Tmem80	10.34294	10.626026	10.797694	10.789237	10.642738	10.447418	10.051913
LOC362065	11.585454	12.086525	11.507591	11.290175	11.531215	11.869868	12.052148
