0	0	0	0	0	1	1	1	1	1
PZP	27.9295507116881	53.1692925111766	32.3139698328004	22.3140219830986	21.0225865105851	29.8885957381853	18.5874541848628	30.6096245443006	41.474505362425	25.8399913355626
AATK	56.7054514449425	21.0670781648058	72.4616293220372	59.8421498637645	37.4750455188691	57.7159090116683	68.1539986778304	60.1637447939701	36.0173336042112	37.2095875232102
ABCA1	609.372015527741	686.184831653676	676.634944074699	586.250213919591	735.790527870479	554.484983004956	574.145807043541	431.701256504101	647.220570524159	563.311811115266
ABCA4	368.162259381343	375.194630173209	510.169038875424	359.052899182587	362.868123682708	354.540583928819	314.954084799065	366.259990236976	383.09345742661	290.441502611724
abca2	1222.97578116331	1308.16523461461	1440.41968557725	1364.19816214853	1699.17340535555	1776.8254845735	1260.84897553986	1477.70601248348	1400.31027315767	1311.63796019316
ABCB7	1082.48167758331	1416.51020803361	1180.9287157078	1148.15785840307	1322.59489916594	1237.80012005381	1341.39461034093	1262.38313637874	1411.22461667409	1326.10835534107
ABCG1	155.7284039682	89.2842836508438	238.927534521312	208.940387659923	198.343533599868	173.147727035005	138.373270042868	117.160976704047	104.777697757705	119.897559797011
ABI1	923.36787352884	979.11753756431	921.437745838338	897.632247956467	841.817485923864	894.596589680858	915.948436776296	963.675420998153	989.930956939986	930.239688080255
abl1	937.755823895468	861.743816360391	985.086474296884	984.859788435853	890.260837448256	1004.87520154244	1016.11416210583	816.960324044436	908.073380566779	820.67812481747
ABL2	370.701309446042	391.245737346394	384.830004372441	362.0957203621	411.3114752071	493.677150296234	463.653718277967	448.589325218198	518.431317030313	405.171064141622
ACADL	6427.18206377453	5452.36046789142	5119.31619048122	5360.43664457619	5726.36976038329	6098.30417182216	5692.92416228604	5327.13017500293	6429.63976552752	6168.52273162551
ACADM	26872.4595347518	15117.1333745457	17527.8806062766	15875.4123672482	21251.0928857002	21334.2735096702	16855.7230366398	19870.9238507242	21091.9688454964	22661.6724012884
ACADVL	4599.06601719131	4548.48249520141	4187.10712136528	4358.33420278976	4546.36283928914	4342.09151189569	4202.82991846621	4155.52040796246	4698.6248838221	5299.26542309719
ACADS	2684.62226840832	2876.15776659516	2472.50829781276	2632.04032027913	2658.90018083879	2294.20738321381	2581.59085900873	2652.48229240784	2678.37989893134	2925.08701918569
SLC33A1	2021.08385150034	1950.20952154203	1804.68625460155	1663.40891146735	2037.36284052583	1977.80052488199	1873.20232729673	2068.78841747687	2120.65694524189	2033.09051828207
ASIC2	11.002550280362	13.0415245782131	10.7713232776001	15.2141058975672	6.39817850322155	20.6128246470244	13.4242724668454	7.38853006241738	10.9143435164276	23.7727920287176
asic1	82.942302113498	61.1948460977693	103.796387947783	76.0705294878362	61.2397085308349	78.3287336586926	75.3824530830548	51.7197104369217	64.394626746923	72.3519757395754
ACE	6175.81610736934	2906.25359254488	4427.99307830071	2850.1091714776	6509.6896142777	5151.14487929139	3959.12774137578	5787.33004746207	5203.9589886327	4804.17118910781
ACHE	113.410902889885	62.1980402960934	48.9605603527278	42.5994965131883	64.8958105326758	93.7883521439609	66.0887259906234	52.7752147315527	42.5659397140678	42.3775857903227
MACF1	1784.95219548334	1358.32494453081	1712.64040113842	1539.6675168338	1649.8160283307	2372.53611687251	1774.0692383108	1627.58762232109	1881.63282223212	1452.20751305862
ACO1	7744.1026973317	8916.39003470449	7519.36285897194	7277.41398766966	8069.9311435633	7304.15441367309	9182.20236732224	9172.33232034386	9649.37110287367	10041.4206329996
ACO2	20193.9115145721	22021.115847412	17934.2532572042	19113.988375977	21520.7304083359	17681.6809822175	20314.0221513679	21387.6835221091	20424.011022291	24010.5199490048
ACOX1	18776.2752284485	22840.7255074428	14107.495860035	19073.4174269168	17978.8815940526	16941.6805773893	24693.4328845903	18975.8562088771	24904.3490357846	24068.4015295965
ACP1	448.565511430142	454.446971840812	423.019241447569	431.066333764405	437.818214720446	422.562905264	475.012718057606	495.031514181965	454.03669028339	477.523039881198
ACP2	770.178519625339	775.46911530452	750.075784603791	686.663312843535	759.555190882444	681.253854584156	663.985168937044	795.850238151815	757.455440040078	764.863743532654
ACP5	1055.39847689318	1615.14265930178	1315.08065107427	1241.47104124149	1353.67176618159	1197.60511199212	1661.51187685802	1651.8642210976	1437.41904111352	1683.73383542526
CHRNA4	700.777817856902	1065.39223862018	733.429194083863	668.406385766454	786.061930395791	579.220372581385	725.943349553254	752.574562071942	762.912611798291	592.252601411096
CHRNA7	7.61715019409676	17.0543013715095	13.7089568987638	10.1427372650448	9.14025500460222	9.27577109116097	15.4895451540524	10.5550429463105	7.64004046149934	7.23519757395754
chrnb1	77.0178519625339	67.2140112877139	92.0458534631284	95.3417302914214	59.4116575299144	80.3900161233951	58.8602715853989	91.8288736329017	69.8517985051368	60.9823795519278
CHRNB2	52.473701337111	62.1980402960934	51.8981939738915	43.6137702396928	62.1537340312951	59.7771914763707	48.533908149364	58.052736204708	44.7488084173533	55.8143812848153
CHRNE	1.69270004313261	2.00638839664818	2.93763362116367	1.01427372650448	0.914025500460222	1.03064123235122	0	2.11100858926211	1.09143435164276	2.06719930684501
ADIPOQ	12.6952503234946	0	4.89605603527278	0	0	8.24512985880975	6.19581806162094	0	0	1.03359965342251
ACTB	6713.24837106394	5551.6766935255	8231.2494065006	7845.40727451217	6380.81201871281	7091.84231980874	6561.37132725658	6448.07573590111	6790.90453592127	6052.75957044219
ACTG1	9580.68224413059	9944.66408798668	9018.53521697247	8512.79938655212	9483.92859277526	8205.9654919804	10174.5658935252	9252.55064673582	9396.15833329255	9780.95352033717
