0	0	0	1	1	1
RGD1306820	8.459365	8.637109	8.764892	8.881051	8.5934725	9.05887
Ptgfr	7.3286743	7.142725	6.9254937	7.6460733	7.581763	7.7818403
Catna1	8.236362	7.961776	8.457536	8.261202	8.719824	8.344606
Snx2	11.029306	11.3214655	11.237306	11.932242	11.800989	11.94001
Slc25a25	8.909361	9.717432	9.192783	10.289446	10.826866	11.0144
Cbln2	3.0532541	3.6334062	3.5384653	3.7611508	2.9643445	3.547203
Tmem80	10.001953	10.36737	10.319339	10.201296	9.720072	9.943806
LOC362065	11.978018	11.99655	11.759901	11.868109	12.057917	11.992433
RGD1564045	9.041423	9.402518	9.146231	7.99089	8.394976	8.23713
Dnah7	9.4819765	9.990389	9.543922	8.975368	8.737014	0.03165748
Hexa	11.844817	12.173007	12.073164	12.190106	12.250772	12.190106
Snx14	8.741947	8.482822	8.344736	8.812451	9.207429	9.255498
Cdc2l1	10.882244	10.856863	10.519132	10.488724	10.741199	10.958792
Enpp1	9.470316	9.529714	8.903803	8.635672	9.219988	8.699932
RGD1309660	9.167073	8.644309	8.609246	9.11986	9.167735	9.247649
Gars	11.777293	11.783976	11.805539	11.677349	11.57701	11.65433
Tmem77	11.752411	12.137209	11.838914	12.160978	11.767269	12.437738
Sln	2.9022005	2.7229316	3.2168798	3.2201483	2.7156	2.4156687
Fbxo11	10.17238	10.383659	10.127602	10.736614	10.635064	11.092888
Rpo1-1	9.1444235	9.124486	9.186188	9.830858	9.340132	9.505234
LOC498331	10.283521	9.8480215	10.479865	9.479355	10.046554	10.258241
LOC500872	11.328996	11.363412	10.961051	11.622479	11.794132	12.057917
Dapk1	11.17364	11.263029	11.431652	10.731093	11.126737	10.531413
Rad52b	8.747591	8.820847	9.076758	9.078445	8.11505	8.851619
Zfp533	6.925689	6.92453	6.8091106	6.5354285	6.7283316	7.51805
Baz1a	8.839769	8.96169	8.887174	9.85324	9.894808	10.284253
RGD1309656	9.896834	9.885541	9.400275	9.885541	10.096551	10.290208
Slc30a5	8.939771	8.712035	8.869706	9.757042	9.619091	9.995192
Mrps24	11.860929	11.447559	11.630703	11.17364	10.966065	10.637651
Lrrc41	9.799357	9.839437	10.176151	9.685632	9.903516	9.7135515
Rit1	8.095374	7.538754	7.8043575	7.153697	6.922179	6.7334127
Bre	11.603175	11.485456	11.527459	11.832376	11.712003	11.713597
Dst	11.408942	11.023944	11.10456	10.183973	9.85195	9.660448
MGC94010	8.763141	8.9493685	8.757098	8.966421	9.572826	9.036685
Arfgap1	8.275181	8.421733	8.530896	8.755382	8.903177	9.206784
LOC311254	7.4202557	7.8479104	7.4220824	8.314211	7.99089	8.514253
RGD1561394	9.608191	10.55648	9.612226	9.897517	9.655921	9.5497265
LOC294513	8.73201	8.690699	8.905198	8.704225	8.788602	8.60567
Pde4dip	7.4172015	7.711435	7.3293314	7.565151	7.153697	7.170062
