st_gene_id,gene_id,gene_symbol,fpkm_ato1,fpkm_ato2,fpkm_ato3,fpkm_db1,fpkm_db2,fpkm_db3,tpm_ato1,tpm_ato2,tpm_ato3,tpm_db1,tpm_db2,tpm_db3,read_count_ato1,read_count_ato2,read_count_ato3,read_count_db1,read_count_db2,read_count_db3,average_fpkm_ato10,average_fpkm_db,average_tpm_ato10,average_tpm_db,average_read_count_ato10,average_read_count_db
G10090_15993,69136,Tusc1,5.19,5.13,5.3,3.23,4.57,5.94,7.48,8.46,8.62,5.62,7.56,9.95,92,91,84,51,63,89,5.206666667,4.58,8.186666667,7.71,89,67.66666667
G10090_17448,11551,Adra2a,0.64,0.97,0.38,0.86,0.72,0.99,0.92,1.6,0.61,1.49,1.2,1.67,34,52,18,41,30,45,0.663333333,0.856666667,1.043333333,1.453333333,34.66666667,38.66666667
G10090_11449,23821,Bace1,3.84,3.58,4.57,8.57,7.07,5.91,5.53,5.89,7.44,14.92,11.7,9.9,199.32,180.35,223.49,408.58,300.79,254.35,3.996666667,7.183333333,6.286666667,12.17333333,201.0533333,321.24
G10090_28967,14400,Gabrb1,0.2,0.06,0.09,0.13,0.11,0.06,0.29,0.1,0.15,0.23,0.17,0.11,20,13,16,19,9,11,0.116666667,0.1,0.18,0.17,16.33333333,13
G10090_16608,20652,Soat1,10.96,6.47,3.55,3.23,2.94,2.91,15.79,10.65,5.78,5.62,4.87,4.88,739,436,216,196,155,167,6.993333333,3.026666667,10.74,5.123333333,463.6666667,172.6666667
G10090_412,21416,Tcf7l2,4.84,4.63,3.73,3.09,4.89,4.31,6.97,7.63,6.07,5.38,8.09,7.21,259,252,187,150,206,203,4.4,4.096666667,6.89,6.893333333,232.6666667,186.3333333
G10090_33414,67966,Zcchc10,8.35,6.13,6.44,6.67,7.16,4.83,12.03,10.1,10.47,11.61,11.85,8.1,135,99,93,96,90,66,6.973333333,6.22,10.86666667,10.52,109,84
G10090_29300,71772,Plbd2,33.21,26.11,28.68,28.89,32.11,32.36,47.84,43,46.65,50.28,53.13,54.21,1669,1317,1295,1303,1258,1382,29.33333333,31.12,45.83,52.54,1427,1314.333333
G10090_11746,353287,Clec18a,1.14,3.41,0.18,0.14,0.26,0.29,1.64,5.62,0.3,0.24,0.44,0.49,28,86,4,3,5,6,1.576666667,0.23,2.52,0.39,39.33333333,4.666666667
G10090_20785,15160,Serpind1,0.35,0.07,0.16,0,0.23,0.12,0.51,0.12,0.26,0,0.37,0.21,10,2,4,0,5,3,0.193333333,0.116666667,0.296666667,0.193333333,5.333333333,2.666666667
G10090_18999,330485,Tmem145,0.06,0.29,0.25,0.31,0.16,0.06,0.09,0.48,0.41,0.53,0.26,0.1,2,11,8,11,5,2,0.2,0.176666667,0.326666667,0.296666667,7,6
G10090_8705,97086,Slc9b2,1.8,0.04,0,0.08,0,0,2.59,0.06,0,0.14,0,0,55,1,0,2,0,0,0.613333333,0.026666667,0.883333333,0.046666667,18.66666667,0.666666667
G10090_15532,71804,Mtfr2,0.83,0.29,0.18,0.57,0.2,0.04,1.19,0.47,0.29,0.99,0.34,0.06,26,9,5,21,5,1,0.433333333,0.27,0.65,0.463333333,13.33333333,9
G10090_19924,73192,Xpot,11.01,10.05,13.25,18.26,14.05,15.08,15.86,16.55,21.56,31.77,23.26,25.26,905,846,1005,1401,943,1105,11.43666667,15.79666667,17.99,26.76333333,918.6666667,1149.666667
G10090_19291,56469,Pias1,9.94,8.09,7.57,8.11,8.48,8.36,14.31,13.33,12.32,14.12,14.04,14.01,691,562,437,450,435,471,8.533333333,8.316666667,13.32,14.05666667,563.3333333,452
G10090_15245,11690,Alox5ap,390.85,25.15,7.91,4.2,7.78,3.39,562.99,41.43,12.86,7.3,12.88,5.67,4926,316,89,47,76,36,141.3033333,5.123333333,205.76,8.616666667,1777,53
G10090_30851,382097,Gm1123,0.06,0.17,0.26,0.45,0.37,0.48,0.08,0.29,0.42,0.79,0.61,0.8,1,3,4,7,5,7,0.163333333,0.433333333,0.263333333,0.733333333,2.666666667,6.333333333
G10090_3624,26429,Orc5,10.07,13.68,11.55,10.81,14.33,13.84,14.51,22.53,18.79,18.82,23.71,23.19,278,381,288,268,310,324,11.76666667,12.99333333,18.61,21.90666667,315.6666667,300.6666667
G10090_1107,16905,Lmna,56.87,51.77,33.2,20.91,29.01,27.77,81.91,85.28,54.01,36.38,48.01,46.52,1830,1826,992,710,784,801,47.28,25.89666667,73.73333333,43.63666667,1549.333333,765
G10090_14489,231003,Klhl17,5.82,5.84,6.21,7.74,8.29,7.83,8.38,9.63,10.1,13.47,13.72,13.12,243,245,233,290,270,278,5.956666667,7.953333333,9.37,13.43666667,240.3333333,279.3333333
G10090_20634,333307,Trim75,0.09,0,0.06,0.29,0.37,0.31,0.13,0,0.11,0.51,0.62,0.52,3,0,2,9,10,9,0.05,0.323333333,0.08,0.55,1.666666667,9.333333333
G10090_22954,69481,Actl9,0.11,0,0.13,0,0.22,0.13,0.16,0,0.2,0,0.36,0.22,2,0,2,0,3,2,0.08,0.116666667,0.12,0.193333333,1.333333333,1.666666667
G10090_25910,66475,Rps23,1273.1,937.34,952.78,669.4,875.55,801.3,1833.82,1543.97,1549.9,1164.96,1448.94,1342.21,7553.07,5490.03,4981.97,3460.65,4011.02,3949.22,1054.406667,782.0833333,1642.563333,1318.703333,6008.356667,3806.963333
G10090_11713,17089,Lyar,12.47,10.72,8.76,9.37,13.76,9.54,17.97,17.66,14.26,16.31,22.77,15.97,255,221,160,170,220,165,10.65,10.89,16.63,18.35,212,185
G10090_29255,241944,D3Ertd254e,1.23,2.12,1.4,1.83,1.68,1.85,1.77,3.49,2.28,3.18,2.79,3.11,116,201,119,155,124,149,1.583333333,1.786666667,2.513333333,3.026666667,145.3333333,142.6666667
G10090_22325,68836,Mrpl52,282.71,184.71,182.16,143.5,164.08,172.35,407.23,304.25,296.33,249.73,271.53,288.69,1090,696,612,474,486,545,216.5266667,159.9766667,335.9366667,269.9833333,799.3333333,501.6666667
G10090_4597,244713,Zfp317,4.28,4.94,3.93,4.53,5.6,4.75,6.17,8.14,6.39,7.88,9.27,7.96,246,285,205,236,254,231,4.383333333,4.96,6.9,8.37,245.3333333,240.3333333
G10090_30457,108168336,Gm46592,0,0,0.02,0.04,0,0,0,0,0.03,0.07,0,0,0,0,1,2,0,0,0.006666667,0.013333333,0.01,0.023333333,0.333333333,0.666666667
G10090_5166,15369,Hmox2,107.64,74.9,74.19,81.61,89.34,94.88,155.05,123.38,120.69,142.03,147.85,158.94,1786.48,1253.89,1095.06,1186.64,1135.76,1322.75,85.57666667,88.61,133.04,149.6066667,1378.476667,1215.05
G10090_5793,235610,Atrip,4.64,4.74,4.69,4.15,5.32,5.65,6.69,7.8,7.63,7.22,8.8,9.46,165,171,150,133,151,173,4.69,5.04,7.373333333,8.493333333,162,152.3333333
G10090_26387,93876,Pcdhb5,0.12,0.1,0.05,0.02,0.08,0.02,0.18,0.17,0.07,0.04,0.13,0.04,6,5,2,1,3,1,0.09,0.04,0.14,0.07,4.333333333,1.666666667
G10090_7659,20609,Sstr5,0.06,0,0,0,0,0,0.08,0,0,0,0,0,2,0,0,0,0,0,0.02,0,0.026666667,0,0.666666667,0
G10090_2415,19224,Ptgs1,12.07,12.47,10.6,13.31,13.37,13.66,17.39,20.55,17.25,23.17,22.12,22.89,462,456,376,480,417,456,11.71333333,13.44666667,18.39666667,22.72666667,431.3333333,451
G10090_30579,71743,Coasy,46.66,77.23,79.96,68.94,64.75,83.73,67.21,127.21,130.06,119.97,107.16,140.25,1057,1986,1981,1720,1272,1986,67.95,72.47333333,108.16,122.46,1674.666667,1659.333333
G10090_17395,320139,Ptpn7,2.78,1.39,0.27,0.05,0.14,0.29,4,2.3,0.43,0.09,0.23,0.48,128,64.93,11,2,5,11,1.48,0.16,2.243333333,0.266666667,67.97666667,6
G10090_8617,225020,Fez2,25.74,29.04,27.74,25.28,27.13,27.89,37.08,47.83,45.13,44,44.9,46.73,684,775,661,602,562,630,27.50666667,26.76666667,43.34666667,45.21,706.6666667,598
G10090_7890,108169043,Gm46911,76.84,58.25,45.88,45.85,37.89,30.12,110.69,95.95,74.63,79.79,62.7,50.45,2395.18,1809.89,1278.46,1311.34,931.97,827.56,60.32333333,37.95333333,93.75666667,64.31333333,1827.843333,1023.623333
G10090_5319,105239,Rnf44,29.14,33.14,31.41,35.53,33.51,33.52,41.97,54.59,51.09,61.83,55.46,56.15,1559,1783,1520,1717,1411,1537,31.23,34.18666667,49.21666667,57.81333333,1620.666667,1555
G10090_32558,210741,Kcnk12,0.08,0.15,0,0,0,0,0.11,0.25,0,0,0,0,2,4,0,0,0,0,0.076666667,0,0.12,0,2,0
G10090_14744,64660,Mrps24,79.06,65.85,85.74,66.92,86.85,91.94,113.87,108.47,139.48,116.46,143.73,154,790,695,781,635,670,797,76.88333333,81.90333333,120.6066667,138.0633333,755.3333333,700.6666667
G10090_24945,100042960,Gm4131,0.15,0.65,1.28,0.76,1.19,0.99,0.22,1.07,2.08,1.32,1.97,1.65,5,21,37,22,30,27,0.693333333,0.98,1.123333333,1.646666667,21,26.33333333
G10090_31,71242,Spata24,5.28,13.86,13.15,4.05,10.17,6.46,7.6,22.84,21.39,7.06,16.83,10.83,43,112,95,29,64,44,10.76333333,6.893333333,17.27666667,11.57333333,83.33333333,45.66666667
G10090_3889,21453,Tcof1,6.23,5,4.51,4.12,4.07,3.87,8.97,8.24,7.34,7.16,6.73,6.49,396,321,257,238,202,211,5.246666667,4.02,8.183333333,6.793333333,324.6666667,217
G10090_32615,20133,Rrm1,6.91,5.66,4.82,6.13,4.98,5.56,9.96,9.33,7.84,10.67,8.24,9.31,388,319,243,309,218,265,5.796666667,5.556666667,9.043333333,9.406666667,316.6666667,264
G10090_408,66889,Rnf128,52.07,64.22,51.17,65.83,58.5,66.78,75,105.78,83.23,114.57,96.82,111.86,1912,2382,1714,2192,1684,2099,55.82,63.70333333,88.00333333,107.75,2002.666667,1991.666667
G10090_11888,381759,Wee2,0.03,0.03,0,0,0,0,0.05,0.05,0,0,0,0,1,1,0,0,0,0,0.02,0,0.033333333,0,0.666666667,0
G10090_10982,246228,Vwa1,8.57,15.37,21.83,15.51,18.43,12.74,12.34,25.32,35.52,27,30.49,21.34,243,424,577,416,402,329,15.25666667,15.56,24.39333333,26.27666667,414.6666667,382.3333333
G10090_29654,209824,Vmn1r183,0,0,0,0,0,0.11,0,0,0,0,0,0.18,0,0,0,0,0,1,0,0.036666667,0,0.06,0,0.333333333
G10090_18899,60596,Gucy1a1,5.97,5.71,5.21,2.73,7.68,3.08,8.6,9.41,8.48,4.75,12.7,5.16,392,377,308,161,394,172,5.63,4.496666667,8.83,7.536666667,359,242.3333333
G10090_7001,234729,Vac14,15.56,14.17,13.07,12.54,11.42,15.25,22.41,23.33,21.25,21.82,18.89,25.55,653,596,492,471,373,542,14.26666667,13.07,22.33,22.08666667,580.3333333,462
G10090_6203,246696,Slc25a28,52.83,31.69,44.53,32.33,50.68,40.34,76.1,52.2,72.44,56.26,83.87,67.58,900,559,712,520,685,599,43.01666667,41.11666667,66.91333333,69.23666667,723.6666667,601.3333333
G10090_12166,20911,Stxbp2,74.12,61.33,52.82,51.74,52.61,57.36,106.77,101.02,85.92,90.05,87.07,96.07,2339.08,1958,1547,1470,1339,1554.76,62.75666667,53.90333333,97.90333333,91.06333333,1948.026667,1454.586667
