st_gene_id,gene_id,gene_symbol,fpkm_ato1,fpkm_ato2,fpkm_ato3,fpkm_db1,fpkm_db2,fpkm_db3,tpm_ato1,tpm_ato2,tpm_ato3,tpm_db1,tpm_db2,tpm_db3,read_count_ato1,read_count_ato2,read_count_ato3,read_count_db1,read_count_db2,read_count_db3,average_fpkm_ato10,average_fpkm_db,average_tpm_ato10,average_tpm_db,average_read_count_ato10,average_read_count_db
G10090_1313,241391,Galnt5,0.07,0.06,0.02,0,0,0,0.1,0.09,0.04,0,0,0,5,4,1,0,0,0,0.05,0,0.076666667,0,3.333333333,0
G10090_25577,667823,Trim5,1.17,1.26,0.38,0.42,0.83,0.46,1.68,2.07,0.62,0.73,1.38,0.77,57.18,64.18,19,16,31.59,17.17,0.936666667,0.57,1.456666667,0.96,46.78666667,21.58666667
G10090_13164,233405,Vps33b,4.39,5.48,5.75,6.52,6.04,6.71,6.33,9.03,9.35,11.35,9.99,11.24,155,194,182,198,166,201,5.206666667,6.423333333,8.236666667,10.86,177,188.3333333
G10090_18333,68915,Vars2,4.07,5.3,5.69,6.54,5.51,7.4,5.86,8.73,9.25,11.37,9.11,12.39,254,332,319,366,268,393,5.02,6.483333333,7.946666667,10.95666667,301.6666667,342.3333333
G10090_18330,50935,St6galnac6,8.06,3.06,2.28,2.43,3.16,3.13,11.62,5.04,3.71,4.24,5.23,5.24,263,100,66,71,80,88,4.466666667,2.906666667,6.79,4.903333333,143,79.66666667
G10090_9512,100502936,E330021D16Rik,0,0,0.07,0.1,0.11,0,0,0,0.11,0.17,0.17,0,0,0,2,3,2,0,0.023333333,0.07,0.036666667,0.113333333,0.666666667,1.666666667
G10090_24190,216835,Usp43,2.67,2.22,1.92,1.41,1.37,1.97,3.85,3.66,3.12,2.45,2.27,3.3,147,122,93,68,63,93,2.27,1.583333333,3.543333333,2.673333333,120.6666667,74.66666667
G10090_2919,319477,Insyn1,1.76,1.13,0.73,0.62,0.62,0.28,2.53,1.87,1.19,1.07,1.02,0.48,51,33,19,16,14,7,1.206666667,0.506666667,1.863333333,0.856666667,34.33333333,12.33333333
G10090_10686,229279,Hnrnpa3,94.55,95.28,73.55,73.32,72.02,73.94,136.19,156.95,119.65,127.61,119.19,123.85,6559,6338,4431,4131,3704,4060,87.79333333,73.09333333,137.5966667,123.55,5776,3965
G10090_1748,12879,Cys1,11.25,14.03,21.27,14.8,13.32,14.01,16.2,23.11,34.6,25.75,22.04,23.47,333,423,572,381,297,345,15.51666667,14.04333333,24.63666667,23.75333333,442.6666667,341
G10090_1252,238331,Zdhhc22,0.06,0.06,0,0.02,0,0,0.09,0.09,0,0.04,0,0,3,3,0,1,0,0,0.04,0.006666667,0.06,0.013333333,2,0.333333333
G10090_8928,329421,Myo3b,0.92,1.18,1.62,1.25,1.82,1.5,1.33,1.94,2.63,2.18,3.02,2.51,81,103,121,92,122,107,1.24,1.523333333,1.966666667,2.57,101.6666667,107
G10090_1472,219150,Hmbox1,7.07,8.38,7.94,10.04,7.86,8.13,10.18,13.8,12.91,17.47,13.01,13.61,557,662,643,770,517,577,7.796666667,8.676666667,12.29666667,14.69666667,620.6666667,621.3333333
G10090_13689,69662,2310061I04Rik,46.61,56.31,61.13,68.64,79.23,79.98,67.14,92.76,99.44,119.46,131.12,133.98,750,907,874,983,989,1077,54.68333333,75.95,86.44666667,128.1866667,843.6666667,1016.333333
G10090_14253,77634,Snapc3,3.81,3.54,1.98,4.34,3.19,3.27,5.49,5.83,3.22,7.55,5.28,5.47,402.56,380.02,249.35,313.39,295.97,323.76,3.11,3.6,4.846666667,6.1,343.9766667,311.04
G10090_14184,545654,Gm13285,0,0,0.22,0,0,0,0,0,0.36,0,0,0,0,0,1.12,0,0,0,0.073333333,0,0.12,0,0.373333333,0
G10090_18076,70008,Ace2,6.5,19.52,22.18,21.53,18.13,29.95,9.37,32.15,36.08,37.47,30.01,50.16,310,934,950,921,674,1213,16.06666667,23.20333333,25.86666667,39.21333333,731.3333333,936
G10090_5121,20300,Ccl25,2.55,2.32,3.75,4.81,2.72,4.05,3.67,3.82,6.1,8.38,4.5,6.79,36,30,48,61,28,47,2.873333333,3.86,4.53,6.556666667,38,45.33333333
G10090_24054,68126,Fahd2a,19.12,35.73,47.75,47.79,58.19,51.43,27.54,58.86,77.68,83.18,96.3,86.14,280,554,666,661,705,671,34.2,52.47,54.69333333,88.54,500,679
G10090_28331,102633986,Gm31679,0.94,0.37,0.54,0.54,1.13,0.78,1.35,0.61,0.87,0.94,1.87,1.3,43.01,17.02,22.09,22.29,40.31,30.22,0.616666667,0.816666667,0.943333333,1.37,27.37333333,30.94
G10090_8775,21929,Tnfaip3,33.06,8.65,2.17,1.84,2.02,1.64,47.62,14.24,3.52,3.2,3.34,2.75,2048,536,120,103,98,87,14.62666667,1.833333333,21.79333333,3.096666667,901.3333333,96
G10090_20015,58210,Sectm1b,5.45,69.8,34.19,37.65,47.84,34.18,7.85,114.97,55.61,65.52,79.17,57.26,171,2209,969,1067,1178,919,36.48,39.89,59.47666667,67.31666667,1116.333333,1054.666667
G10090_14560,208968,Zfp280c,2.86,2.67,2.27,1.86,2.58,2.09,4.12,4.4,3.69,3.24,4.27,3.5,161,150,114,94,116,102,2.6,2.176666667,4.07,3.67,141.6666667,104
G10090_21181,70325,Pigw,2.02,2.08,2.17,1.53,2.34,2.24,2.9,3.42,3.54,2.67,3.87,3.75,62,68,62,44,56,60,2.09,2.036666667,3.286666667,3.43,64,53.33333333
G10090_18164,22242,Umod,1324.47,511.84,1489.74,1288.89,1793.64,1466.88,1907.81,843.1,2423.38,2243.05,2968.3,2457.09,47124,18271,47555,41072,49728,44285,1108.683333,1516.47,1724.763333,2556.146667,37650,45028.33333
G10090_21815,66501,1700029H14Rik,0.16,0,0,0,0,0,0.23,0,0,0,0,0,2,0,0,0,0,0,0.053333333,0,0.076666667,0,0.666666667,0
G10090_1813,50912,Exosc10,19.23,14.67,16.64,18.43,17.08,19.49,27.7,24.16,27.07,32.07,28.26,32.64,739,565,574,637,513,639,16.84666667,18.33333333,26.31,30.99,626,596.3333333
G10090_11881,69537,Dnase1l1,24.21,15.17,7.99,7,8.84,9.1,34.87,25,13,12.19,14.63,15.24,511,324,152,134,148,164,15.79,8.313333333,24.29,14.02,329,148.6666667
G10090_17113,26934,Racgap1,3.05,2.69,0.93,0.95,1.07,0.77,4.4,4.43,1.51,1.65,1.78,1.3,124,110,34,35,34,27,2.223333333,0.93,3.446666667,1.576666667,89.33333333,32
G10090_118,110532,Adarb1,4.21,2.56,2.49,3.36,2.65,2.54,6.07,4.21,4.05,5.84,4.39,4.25,396,241,211,283,195,203,3.086666667,2.85,4.776666667,4.826666667,282.6666667,227
G10090_30391,107047,Psmg2,13.63,17.21,15.45,14.59,16.09,17.51,19.63,28.35,25.13,25.39,26.63,29.34,181,228,183,172,166,196,15.43,16.06333333,24.37,27.12,197.3333333,178
G10090_12521,78894,Aacs,8.5,17.38,26.89,22.73,14.78,24.85,12.25,28.62,43.74,39.55,24.45,41.63,375,769,1065,899,508,931,17.59,20.78666667,28.20333333,35.21,736.3333333,779.3333333
G10090_5996,229937,Znhit6,10.72,11.95,7.17,5.83,10.34,6.99,15.44,19.68,11.67,10.15,17.12,11.71,179,215,117,108,152,119,9.946666667,7.72,15.59666667,12.99333333,170.3333333,126.3333333
G10090_23946,69861,2010003K11Rik,2.49,14.49,7.16,3.94,9.18,2.15,3.59,23.87,11.65,6.85,15.19,3.61,37,215,95,52,106,27,8.046666667,5.09,13.03666667,8.55,115.6666667,61.66666667
G10090_15658,142687,Asb14,0.12,0.12,0.05,0.05,0.05,0.14,0.18,0.2,0.07,0.08,0.09,0.24,3,3,1,1,1,3,0.096666667,0.08,0.15,0.136666667,2.333333333,1.666666667
G10090_24157,110956,D17H6S56E-5,64.11,69.63,14.64,7.29,14.14,7.36,92.34,114.7,23.82,12.68,23.4,12.32,2913.07,3128.34,603.27,302.91,510.64,289.59,49.46,9.596666667,76.95333333,16.13333333,2214.893333,367.7133333
G10090_26515,11609,Agtr2,0,0,0,0.03,0.06,0.12,0,0,0,0.05,0.11,0.2,0,0,0,1,2,4,0,0.07,0,0.12,0,2.333333333
G10090_14540,550619,Arid3c,0,0,0.05,0,0.06,0,0,0,0.08,0,0.1,0,0,0,1,0,1,0,0.016666667,0.02,0.026666667,0.033333333,0.333333333,0.333333333
G10090_13371,70101,Cyp4f16,11.69,10.83,5.74,4.27,8.52,5.66,16.84,17.84,9.34,7.43,14.1,9.48,327,311,141,100,184,131,9.42,6.15,14.67333333,10.33666667,259.6666667,138.3333333
G10090_23277,77630,Prdm8,0.03,0,0.03,0,0,0,0.04,0,0.05,0,0,0,1,0,1,0,0,0,0.02,0,0.03,0,0.666666667,0
G10090_14235,73674,Wdr75,6.14,5.69,5.58,6.57,6.43,5.94,8.85,9.37,9.09,11.44,10.64,9.95,222,209,186,218,182,184,5.803333333,6.313333333,9.103333333,10.67666667,205.6666667,194.6666667
G10090_18567,242860,Rsbn1l,5.73,5.83,4.63,4.57,5.51,4.51,8.26,9.6,7.54,7.95,9.11,7.56,471,474,340,331,351,313,5.396666667,4.863333333,8.466666667,8.206666667,428.3333333,331.6666667
G10090_5737,80286,Tusc3,36.85,33.03,32.58,37.56,34.33,34.06,53.08,54.4,53,65.36,56.82,57.05,795,709,614,703,572,611,34.15333333,35.31666667,53.49333333,59.74333333,706,628.6666667
G10090_29669,102634852,Gm11232,0.05,0,0.05,0,0.06,0.06,0.07,0,0.09,0,0.1,0.1,1,0,1,0,1,1,0.033333333,0.04,0.053333333,0.066666667,0.666666667,0.666666667
G10090_14997,100312471,Vmn1r3,0,0.08,0,0,0,0,0,0.13,0,0,0,0,0,1,0,0,0,0,0.026666667,0,0.043333333,0,0.333333333,0
G10090_24114,69101,Ydjc,3.45,5.55,3.34,2.1,3.45,2.56,4.97,9.14,5.43,3.66,5.71,4.29,59,94.89,51,32,46,37,4.113333333,2.703333333,6.513333333,4.553333333,68.29666667,38.33333333
G10090_18556,11990,Atrn,5.92,5.84,7.11,8.3,7.56,8.3,8.53,9.61,11.56,14.44,12.51,13.9,711,703,768,899,710,848,6.29,8.053333333,9.9,13.61666667,727.3333333,819
G10090_6603,16404,Itga7,5.39,3.78,3.77,2.85,2.2,3.5,7.76,6.22,6.13,4.97,3.64,5.87,292,205,189,146,97,166,4.313333333,2.85,6.703333333,4.826666667,228.6666667,136.3333333
G10090_294,14232,Fkbp8,168.98,137.38,140,126.43,132.43,138.46,243.4,226.28,227.74,220.03,219.17,231.93,3846,3140,2858,2578,2353,2679,148.7866667,132.44,232.4733333,223.71,3281.333333,2536.666667
G10090_10291,380683,Sec14l3,0.11,0.48,0.57,1.15,0.12,0.23,0.16,0.79,0.92,2.01,0.19,0.39,6,26,28,57,5,11,0.386666667,0.5,0.623333333,0.863333333,20,24.33333333
G10090_8318,27058,Srp9,66.22,68.33,53.19,53.75,53.76,53.87,95.39,112.55,86.52,93.55,88.97,90.23,1197,1235,860,866,756,823,62.58,53.79333333,98.15333333,90.91666667,1097.333333,815
G10090_14112,217707,Coq6,11.11,10,16.9,15.76,14.53,16.21,16.01,16.47,27.5,27.42,24.04,27.15,236,213,322,299,240,292,12.67,15.5,19.99333333,26.20333333,257,277
G10090_1762,271786,Galnt13,0.01,0,0,0,0,0,0.01,0,0,0,0,0,1,0,0,0,0,0,0.003333333,0,0.003333333,0,0.333333333,0
G10090_5368,75964,Trappc8,7.82,9.78,9.44,13.26,10.11,11.47,11.26,16.11,15.36,23.07,16.72,19.21,582,728,638,902,586,731,9.013333333,11.61333333,14.24333333,19.66666667,649.3333333,739.6666667
G10090_2342,17978,Ncoa2,5.09,5.69,6.44,7.47,6.45,7.31,7.33,9.38,10.48,13,10.68,12.25,594,676,674,783,587,731,5.74,7.076666667,9.063333333,11.97666667,648,700.3333333
G10090_3485,382639,Zbtb42,5.82,5.86,2.99,2.49,3.39,2.65,8.38,9.65,4.87,4.33,5.62,4.44,274,273,129,103,126,108,4.89,2.843333333,7.633333333,4.796666667,225.3333333,112.3333333
G10090_16178,75764,Slx1b,4.74,4.89,3.79,3.17,4.55,4.23,6.82,8.05,6.16,5.52,7.52,7.08,244.69,253.56,175.81,146.96,183.13,185.67,4.473333333,3.983333333,7.01,6.706666667,224.6866667,171.92
G10090_3604,22658,Pcgf2,11.38,12.29,8.14,7.59,10.34,8.42,16.39,20.24,13.24,13.22,17.1,14.1,390,444,252,234,281,248,10.60333333,8.783333333,16.62333333,14.80666667,362,254.3333333
G10090_11447,105244829,Gm40365,0,0.15,0.14,0,0,0,0,0.24,0.23,0,0,0,0,2.46,2.18,0,0,0,0.096666667,0,0.156666667,0,1.546666667,0
G10090_8875,271508,4933408B17Rik,0.68,0.75,0.43,0.87,0.46,0.15,0.98,1.23,0.7,1.52,0.77,0.25,33.46,37.24,21.28,37.49,17.32,8.63,0.62,0.493333333,0.97,0.846666667,30.66,21.14666667
G10090_14068,67681,Mrpl18,55.95,74.27,74.65,68.77,68.19,70.77,80.6,122.33,121.43,119.68,112.84,118.55,654,857,768,710,616,693,68.29,69.24333333,108.12,117.0233333,759.6666667,673
G10090_14018,13392,Dlx2,0.06,0,0,0,0,0,0.08,0,0,0,0,0,2,0,0,0,0,0,0.02,0,0.026666667,0,0.666666667,0
G10090_27065,67105,Timm21,11.44,12.55,15.03,12.26,15.28,19.47,16.49,20.67,24.45,21.34,25.28,32.61,197,216,232,190,204,283,13.00666667,15.67,20.53666667,26.41,215,225.6666667
G10090_17648,15258,Hipk2,6.26,6.53,8.25,10.4,8.52,10.68,9.02,10.76,13.41,18.1,14.09,17.89,1300.93,1367.76,1549.47,1959.56,1373.58,1889.43,7.013333333,9.866666667,11.06333333,16.69333333,1406.053333,1740.856667
G10090_353,211135,D130040H23Rik,0.17,0.17,0,0.05,0.11,0,0.24,0.28,0,0.08,0.18,0,4,6,0,1,2,0,0.113333333,0.053333333,0.173333333,0.086666667,3.333333333,1
G10090_23090,13731,Emp2,11.69,10.19,6.03,3.65,5.16,3.78,16.84,16.79,9.81,6.34,8.54,6.33,561,491,260,157,193,154,9.303333333,4.196666667,14.48,7.07,437.3333333,168
G10090_15062,12819,Col15a1,17.94,9.75,3.64,1.96,1.9,1.58,25.84,16.07,5.92,3.4,3.15,2.64,1264,689,232,126,104,93,10.44333333,1.813333333,15.94333333,3.063333333,728.3333333,107.6666667
G10090_25297,19290,Pura,9.66,9.96,7.83,8.15,11.7,8.13,13.92,16.41,12.73,14.18,19.36,13.62,564,632,452,519,576,507,9.15,9.326666667,14.35333333,15.72,549.3333333,534
G10090_4284,16847,Lepr,1.59,0.32,1.54,0.46,1.02,1.63,2.29,0.52,2.5,0.79,1.69,2.74,125,25,107,30,64,106,1.15,1.036666667,1.77,1.74,85.66666667,66.66666667
G10090_27782,17172,Ascl1,0,0.1,0,0.04,0.04,0,0,0.16,0,0.06,0.07,0,0,3,0,1,1,0,0.033333333,0.026666667,0.053333333,0.043333333,1,0.666666667
G10090_2377,108168534,Gm46714,0.08,0,0,0,0.05,0,0.11,0,0,0,0.08,0,2,0,0,0,1,0,0.026666667,0.016666667,0.036666667,0.026666667,0.666666667,0.333333333
G10090_10113,19250,Ptpn14,4.61,3.06,2.89,3.19,2.9,3.9,6.63,5.03,4.7,5.56,4.8,6.53,697,466,394,441,347,504,3.52,3.33,5.453333333,5.63,519,430.6666667
G10090_3273,98053,Gtf2f1,32.57,28.73,24.9,25.23,24.59,19.92,46.91,47.32,40.5,43.9,40.7,33.36,761,667,522,520,446,392,28.73333333,23.24666667,44.91,39.32,650,452.6666667
G10090_32107,12862,Cox6a2,0.67,0.41,4.09,4.13,1.91,5.14,0.97,0.67,6.66,7.19,3.16,8.62,5,3,27,27,11,32,1.723333333,3.726666667,2.766666667,6.323333333,11.66666667,23.33333333
G10090_20087,70415,Stk26,2.42,0.94,1.07,0.77,0.95,0.53,3.49,1.55,1.73,1.34,1.57,0.89,111.72,43.77,44,31.76,34.18,20.85,1.476666667,0.75,2.256666667,1.266666667,66.49666667,28.93
G10090_12564,101631,Pwwp2b,5.85,4.16,2.32,2.38,2.25,2.61,8.42,6.86,3.78,4.14,3.73,4.37,188,135,67,71,57,73,4.11,2.413333333,6.353333333,4.08,130,67
G10090_5760,14672,Gna11,32.07,33.01,32.93,31.92,33.06,33.81,46.2,54.37,53.57,55.55,54.71,56.64,1456,1504,1343,1300,1170,1304,32.67,32.93,51.38,55.63333333,1434.333333,1258
G10090_20118,67629,Spc24,4.46,3.76,2.98,2.56,2.59,2.64,6.42,6.19,4.85,4.46,4.28,4.43,76.43,60.63,41.12,35.01,34.1,38.35,3.733333333,2.596666667,5.82,4.39,59.39333333,35.82
G10090_4403,102657,Cd276,5.49,2.96,0.48,0.15,0.52,0.21,7.91,4.87,0.77,0.26,0.86,0.35,244,132,19,6,18,8,2.976666667,0.293333333,4.516666667,0.49,131.6666667,10.66666667
G10090_14949,23996,Psmc4,88.68,87.12,79.17,72.7,60.04,79.94,127.74,143.5,128.79,126.51,99.35,133.89,1665,1636,1330,1217,877,1269,84.99,70.89333333,133.3433333,119.9166667,1543.666667,1121
G10090_7319,12523,Cd84,15.27,6.82,0.97,0.51,0.9,0.79,21.99,11.24,1.58,0.88,1.49,1.32,641,309,36,21,30,20,7.686666667,0.733333333,11.60333333,1.23,328.6666667,23.66666667
G10090_16025,234362,Zfp868,6.78,7.04,6.16,5.94,7.38,5.75,9.77,11.59,10.02,10.34,12.21,9.64,195,214,166,163,178.26,141,6.66,6.356666667,10.46,10.73,191.6666667,160.7533333
G10090_318,66083,Setd6,9.64,10.39,11.2,9.54,10.19,11.72,13.88,17.12,18.21,16.61,16.86,19.64,215,232,224,190,176,221,10.41,10.48333333,16.40333333,17.70333333,223.6666667,195.6666667
G10090_32701,73176,3110040M04Rik,0.22,0.66,0.54,0.93,0.34,1.86,0.32,1.08,0.88,1.62,0.56,3.12,5,15,11,19,6,36,0.473333333,1.043333333,0.76,1.766666667,10.33333333,20.33333333
G10090_28409,68036,Zfp706,37.45,66.39,73.33,66.59,69.7,69.12,53.94,109.36,119.29,115.88,115.35,115.78,2330.43,4149.92,4102.98,3721.98,3383.23,3657.7,59.05666667,68.47,94.19666667,115.67,3527.776667,3587.636667
G10090_19999,243833,Zfp128,0.63,0.63,0.68,1.02,1.19,0.92,0.91,1.04,1.11,1.77,1.98,1.54,34,34,33,49,50,42,0.646666667,1.043333333,1.02,1.763333333,33.66666667,47
G10090_23814,11951,Atp5g1,622.53,506.67,725.82,672.59,700.98,756.83,896.71,834.59,1180.69,1170.5,1160.06,1267.73,5943,4811,6158,5668,5189,6060,618.34,710.1333333,970.6633333,1199.43,5637.333333,5639
G10090_4482,18717,Pip5k1c,35.5,33.44,29.36,21.16,26.57,29.54,51.14,55.09,47.76,36.83,43.97,49.48,2144,2024,1588,1143,1245,1500,32.76666667,25.75666667,51.33,43.42666667,1918.666667,1296
G10090_26462,78134,Lpar4,0.18,0.08,0.04,0.11,0.09,0.06,0.27,0.14,0.06,0.2,0.14,0.1,11,5,2,6,4,3,0.1,0.086666667,0.156666667,0.146666667,6,4.333333333
G10090_15543,14663,Glycam1,0.28,0.43,0,0,0,0,0.41,0.71,0,0,0,0,2,3,0,0,0,0,0.236666667,0,0.373333333,0,1.666666667,0
G10090_20209,72393,Faim2,0.02,0.03,0.03,0.05,0.06,0.02,0.02,0.05,0.06,0.09,0.1,0.03,1,2,2,3,3,1,0.026666667,0.043333333,0.043333333,0.073333333,1.666666667,2.333333333
G10090_2164,58866,Treh,9.66,116.09,58.5,33.32,31.71,57.43,13.91,191.23,95.17,57.98,52.47,96.2,264,3219,1442,816,680,1340,61.41666667,40.82,100.1033333,68.88333333,1641.666667,945.3333333
G10090_29320,69362,Cst12,0,0.17,0,0,0,0,0,0.29,0,0,0,0,0,1,0,0,0,0,0.056666667,0,0.096666667,0,0.333333333,0
G10090_23671,626832,Gm6710,0.95,2.28,1.73,3.27,2.56,2.19,1.37,3.75,2.82,5.7,4.23,3.67,50.49,121.45,79.3,154.96,104.99,98.6,1.653333333,2.673333333,2.646666667,4.533333333,83.74666667,119.5166667
G10090_16098,14696,Gnb4,3.26,1.63,1.63,2.14,2.41,1.49,4.7,2.69,2.66,3.72,3.98,2.49,170,119,110,147,121,106,2.173333333,2.013333333,3.35,3.396666667,133,124.6666667
G10090_16743,100861753,Gm21188,8.84,0.77,0.14,0.05,0.11,0.05,12.74,1.27,0.23,0.08,0.18,0.09,205.64,17.92,3,1,2,1,3.25,0.07,4.746666667,0.116666667,75.52,1.333333333
G10090_1031,66213,Med7,28.32,23.88,21.18,23.89,26.36,23.07,40.79,39.33,34.45,41.57,43.63,38.64,502,447,333,399,368,360,24.46,24.44,38.19,41.28,427.3333333,375.6666667
G10090_3355,67416,Armcx2,5.86,2.65,2.82,3.03,3.63,2.39,8.44,4.37,4.59,5.28,6,4.01,287,126,129,133,141,103,3.776666667,3.016666667,5.8,5.096666667,180.6666667,125.6666667
G10090_29151,100043125,Cd300ld5,2.93,0.98,0,0,0,0.76,4.21,1.61,0,0,0,1.27,28.39,9.42,0,0,0,6.15,1.303333333,0.253333333,1.94,0.423333333,12.60333333,2.05
G10090_32752,18356,Olfr56,0.08,0,0,0,0,0,0.11,0,0,0,0,0,2,0,0,0,0,0,0.026666667,0,0.036666667,0,0.666666667,0
G10090_12834,56177,Olfm1,16.35,12.56,13.83,12.66,14.3,12.83,23.55,20.7,22.5,22.04,23.67,21.49,504,358,346,348,322,334,14.24666667,13.26333333,22.25,22.4,402.6666667,334.6666667
G10090_1014,18197,Nsg2,0.62,2.32,0.38,1.15,0.78,0.57,0.89,3.82,0.62,2,1.29,0.96,19,72,10,31,19,15,1.106666667,0.833333333,1.776666667,1.416666667,33.66666667,21.66666667
G10090_17851,74174,Gtsf1,0,0,0,0.14,0,0,0,0,0,0.24,0,0,0,0,0,1,0,0,0,0.046666667,0,0.08,0,0.333333333
G10090_21766,216198,Tcp11l2,13.07,7.5,7.03,8.43,8.64,6.5,18.82,12.36,11.43,14.68,14.3,10.88,429,247,207,248,221,181,9.2,7.856666667,14.20333333,13.28666667,294.3333333,216.6666667
G10090_14379,629147,Ctxn3,0.32,4.25,0,0,0,0.15,0.45,7.01,0,0,0,0.25,5,83,0,0,0,2,1.523333333,0.05,2.486666667,0.083333333,29.33333333,0.666666667
G10090_25292,407789,BC048644,0,0.03,0.07,0.04,0,0.27,0,0.05,0.12,0.06,0,0.45,0,1,2,1,0,7,0.033333333,0.103333333,0.056666667,0.17,1,2.666666667
G10090_1314,72662,Dis3,3.5,3.24,4.18,3.67,3.44,3.67,5.04,5.34,6.8,6.38,5.69,6.15,201.68,196.14,223.2,217.79,185.98,200.6,3.64,3.593333333,5.726666667,6.073333333,207.0066667,201.4566667
G10090_22899,71683,Gypc,3.89,0.65,1.59,1.45,1.05,2.56,5.6,1.07,2.58,2.53,1.74,4.28,122,23,45,41,27,69,2.043333333,1.686666667,3.083333333,2.85,63.33333333,45.66666667
G10090_11123,72125,Amer2,1.02,0.29,0.03,0.07,0.06,0.04,1.47,0.48,0.06,0.12,0.1,0.06,59,18,3,4,3,3,0.446666667,0.056666667,0.67,0.093333333,26.66666667,3.333333333
G10090_32018,66107,Wfdc21,265.64,2.17,0,0.55,0.31,0,382.64,3.58,0,0.96,0.51,0,1124,9,0,2,1,0,89.27,0.286666667,128.74,0.49,377.6666667,1
G10090_12724,108841,Rdh13,8.09,8.35,9.06,12.69,11.73,10.48,11.66,13.76,14.74,22.09,19.41,17.55,344,356,349,477,390,375,8.5,11.63333333,13.38666667,19.68333333,349.6666667,414
G10090_27534,100504444,Gm21977,0,0.16,0.14,0,0,0,0,0.27,0.23,0,0,0,0,1.76,1.37,0,0,0,0.1,0,0.166666667,0,1.043333333,0
G10090_23851,14618,Gjb1,9.28,36.37,40.95,24.07,45,42.45,13.37,59.9,66.62,41.89,74.48,71.11,191,772,775,455,742,762,28.86666667,37.17333333,46.63,62.49333333,579.3333333,653
G10090_22513,73254,Ccdc18,0.12,0.15,0.07,0.03,0.11,0.05,0.18,0.25,0.11,0.06,0.19,0.09,8,10,4,2,6,3,0.113333333,0.063333333,0.18,0.113333333,7.333333333,3.666666667
G10090_6637,19944,Rpl29,998.11,685.99,708.6,545.8,629.87,549.9,1437.71,1129.96,1152.69,949.85,1042.37,921.11,9212.67,6291.85,5821.97,4455.88,4509.03,4268.31,797.5666667,575.19,1240.12,971.11,7108.83,4411.073333
G10090_15606,381668,Fbrsl1,15.15,15.51,13.4,11.81,14.8,12.44,21.82,25.55,21.8,20.56,24.49,20.84,830,869,672,584,645,589,14.68666667,13.01666667,23.05666667,21.96333333,790.3333333,606
G10090_22253,58231,Stk4,10.89,8.87,7.04,8.66,7.94,7.11,15.68,14.61,11.45,15.07,13.14,11.92,799,655,463,569,454,444,8.933333333,7.903333333,13.91333333,13.37666667,639,489
G10090_8070,67246,Resf1,9.58,10.6,7.81,7.35,7.72,4.96,13.8,17.46,12.71,12.79,12.77,8.32,831,925,612,578,525,367,9.33,6.676666667,14.65666667,11.29333333,789.3333333,490
G10090_29153,103149,Upb1,11.31,43.01,71.76,54.87,53.27,68.91,16.29,70.85,116.73,95.49,88.16,115.42,477,1821,2719,2076,1752,2469,42.02666667,59.01666667,67.95666667,99.69,1672.333333,2099
G10090_2860,245450,Slitrk2,0.02,0.01,0,0.03,0,0,0.03,0.01,0,0.04,0,0,2,1,0,1,0,0,0.01,0.01,0.013333333,0.013333333,1,0.333333333
G10090_9578,73229,Zfp983,1.74,1.93,1.48,1.84,2.23,1.82,2.51,3.18,2.41,3.19,3.69,3.05,130.11,149,103,129,132,119,1.716666667,1.963333333,2.7,3.31,127.37,126.6666667
G10090_22887,545725,Mterf1a,3.63,3.35,1.65,1.87,2.2,1.97,5.23,5.52,2.68,3.25,3.64,3.3,64.98,59.79,25.96,30.32,30.6,29.76,2.876666667,2.013333333,4.476666667,3.396666667,50.24333333,30.22666667
G10090_27000,16012,Igfbp6,9.68,1.68,0.34,0.2,0.31,1.42,13.94,2.77,0.55,0.35,0.51,2.38,161,28,5,3,4,20,3.9,0.643333333,5.753333333,1.08,64.66666667,9
G10090_19374,19821,Rnf2,13.51,11.37,9.23,9.41,9.2,8.55,19.46,18.73,15.02,16.38,15.22,14.33,568,479,350,355,301,305,11.37,9.053333333,17.73666667,15.31,465.6666667,320.3333333
G10090_2426,208846,Daam1,4.56,5.59,5.68,5.34,5.16,4.69,6.56,9.21,9.24,9.29,8.54,7.86,378,469,429,401,338,332,5.276666667,5.063333333,8.336666667,8.563333333,425.3333333,357
G10090_22162,101351,Eogt,7.58,8.38,7.48,8.45,8.31,8.62,10.91,13.8,12.17,14.7,13.76,14.45,319,356,288,325,273,317,7.813333333,8.46,12.29333333,14.30333333,321,305
G10090_14994,238690,Zfp458,0.29,0.51,0.21,0.14,0.37,0.27,0.41,0.84,0.33,0.24,0.61,0.44,23,34,16,13,23,19,0.336666667,0.26,0.526666667,0.43,24.33333333,18.33333333
G10090_25617,66462,Rex1bd,132.98,112.7,89.05,76.32,105.12,88.35,191.54,185.64,144.86,132.82,173.97,148,984,827,584,496,603,546,111.5766667,89.93,174.0133333,151.5966667,798.3333333,548.3333333
G10090_6592,14594,Ggta1,13.12,3.05,2.33,2.37,1.42,1.99,18.9,5.03,3.79,4.13,2.36,3.33,616,148,101,103,52,83,6.166666667,1.926666667,9.24,3.273333333,288.3333333,79.33333333
G10090_29085,212679,Mars2,1.35,2.23,2.46,2.21,2.09,2.6,1.95,3.67,4,3.85,3.46,4.36,54,89,88,79,65,88,2.013333333,2.3,3.206666667,3.89,77,77.33333333
