gene	RK10.3	RK11.3	RK12.2	RK12.3	RK7.1	RK7.2	RK8.1	RK8.2	RK2.1	RK2.2	RK3.1	RK3.2	RK4.1	RK4.2	RK6.1	RK6.2
ENSRNOG00000000112	6.1	7.17	7.36	7.17	9.42	7.57	9.64	8.42	7.02	9.12	6.98	8.44	8.16	10.63	7.02	9.11
ENSRNOG00000000113	1.29	1.51	1.28	1.65	2.53	2.56	1.68	1.39	1.58	1.87	1.64	1.16	1.5	3.19	2.14	1.88
ENSRNOG00000000121	7.6	5.7	2.93	4.58	5.1	8.46	6.31	5.01	5.9	6.98	6.03	4.9	4.42	6.75	6.26	5.05
ENSRNOG00000000122	184.08	153.84	202.43	164.23	124.96	192.16	114.25	127.5	173.26	152.39	156.24	141.54	221.79	176.53	139.85	138.68
ENSRNOG00000000123	7.88	8.69	10.78	9.1	18.51	16.56	14.39	14.3	10.09	12.31	9.88	9.81	13.82	15.77	20.53	14.46
ENSRNOG00000000124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000127	14.3	15.26	14.78	16.12	17.63	17.74	12.62	21.05	14.9	21.06	10.37	10.37	21.4	18.76	18.34	17.4
ENSRNOG00000000129	0	0	0.08	0	0.09	0.18	0.08	0.08	0	0.08	0	0	0	0	0.09	0.12
ENSRNOG00000000130	10.79	11.02	8.61	8.3	13.09	11.82	15.12	12.93	11.47	15.2	14.91	15.39	10.84	16.31	15.8	14.96
ENSRNOG00000000133	61.96	51.27	55.99	52.43	69.64	59.52	62.39	61.47	61.04	57.43	47.83	57.53	59.92	65.12	64.13	58.79
ENSRNOG00000000137	4.6	2.98	3.48	2.62	14.2	14.16	10.73	11.96	9.19	6.54	7.09	8.74	10.24	12.92	14.9	12.42
ENSRNOG00000000138	6.79	5.43	5.21	4.17	7.36	6.2	3.89	7.26	4.83	8.33	6.6	5.66	4.83	8.83	4.48	4.73
ENSRNOG00000000142	14.16	15.91	16.31	20.69	28.74	22.58	23.92	28.21	20.11	16.73	14.27	14.47	26.42	23.53	22.73	24.78
ENSRNOG00000000145	4.4	2.8	3.9	3.38	11.75	11.34	3.77	9.08	6.97	5.9	3.17	3.12	12.24	6.3	10.98	9.7
ENSRNOG00000000150	16.35	20.51	18.81	21.26	18.38	23.55	27.92	24.07	21.77	21.58	20.08	21.86	23.37	29.1	27.81	24.35
ENSRNOG00000000151	5.15	4.84	6.76	6.58	7.99	8.46	5.61	10.05	6.66	7.81	1.82	3.24	4.96	8.91	8	8.64
ENSRNOG00000000155	4.75	3.39	4.57	5.77	9.84	5.95	5.06	8.04	5.24	5.74	3.26	4.16	7.82	8.94	7.06	7.9
ENSRNOG00000000156	0.23	0.54	0.24	0.16	0.44	0.81	1.07	1.15	0.25	0.35	0.49	0.34	0.6	0.43	1.04	0.91
ENSRNOG00000000157	23.57	22.56	22.53	26.55	21.54	23.79	22.22	21.07	24.51	24.05	19.44	21.01	21.11	24.51	26.31	23.5
ENSRNOG00000000158	23.94	45.42	32.97	55.2	24.17	22.57	10.99	10.79	39.71	21.9	12.75	14.66	33.45	9.37	18.77	24.9
