0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
AAAS	9.20448539542041	9.23023559200646	9.43893525409909	7.94050514340671	7.86955392483019	7.57319617412226	7.23280692534817	7.99406732802907	7.94908237000552	7.79687069563773	8.09029018543262	7.99732309760328	7.56289398242236	7.71696214812779	7.98240352643448	7.82502238404538	7.31321711522907	7.1150043664114	6.34308936368365	6.93552164140541	6.57796080458448	6.84247546176219	7.02470100494823
AACS	8.84084516816663	8.80213904938758	8.93215646771985	8.78674922795455	8.32103617622094	8.16884655753979	7.66791633968911	8.90085830172584	8.544559098713	8.49508502967058	8.84027083988153	9.04713399549717	8.26158386974824	8.49890047297093	8.25458841054146	8.28080833204919	8.13881251501894	7.71750916365305	6.50761748034526	7.95265778564534	7.38685878459017	7.56854895419577	7.9745372571191
AATK	8.83077459821524	9.1803059951726	9.0851862993942	7.90681402532511	7.59727149876896	7.31362718320248	7.17221670960083	7.72392527125419	8.05019522318165	7.94726781317489	7.96345049451252	7.57409472748837	7.34926617423763	7.40679862357678	7.25671677286457	7.63278797949566	6.96950911258511	7.86355018117865	7.07190426466005	7.29769512089397	7.73388955218016	7.61415986899783	7.79780018049836
ABCA12	4.82231772390541	4.72892752514135	4.86453717457159	4.28185100312831	3.86711359929312	3.81357468069376	3.54951393177323	3.90867384616417	4.20503117853443	3.85048931080662	4.24592989587469	4.42166154697775	3.79486402479531	3.9275229984175	3.84686507636003	3.76357097227144	3.3742708937385	3.99608152140094	3.10569553405385	3.6468968290315	3.81361564436945	3.72834114061608	3.95121805640352
ABCA6	5.1913355224537	5.81917941664852	6.00203551229662	4.61849139952872	4.1561793802	4.19795932685275	3.77059523732022	4.23109828225737	4.41704236177796	4.42798654221742	4.85779928196498	4.78659802165954	4.08540402601837	4.29688879711832	4.08034425544878	4.04415595065917	3.86677492466587	4.57605693557259	3.59482524537144	4.09976252623661	4.02501202234201	4.33885473114789	4.37002148888405
ABCB1	8.60714231338721	7.65709992557006	8.64742669672746	7.46952788971331	5.36700750000705	4.81624136784826	5.07776609224891	7.72182469981033	6.7954149350147	7.14727562665393	7.01742415139588	6.68720100638699	6.595556532261	5.37887099676684	6.35889004618221	6.63489670368311	6.06796600449245	5.24749031850875	4.66441369151118	4.59282774659163	4.93114650092453	4.60633724480571	5.74966740296075
ABCC2	7.2322273242409	6.93422336461184	8.06184528708607	7.33659609140583	5.74848622477936	5.26795678441716	4.96562150067744	6.68831997342918	6.53477729218225	6.49364615376755	6.80227675619025	6.69175596896467	6.65574135114973	5.86857229316363	6.26040333299963	5.63528328572645	5.41428970263238	5.38975807921852	4.63174269173738	5.21538576426528	6.02107501146658	5.56653167711904	5.90058042872902
ABHD17A	9.4097915690546	9.6013390506014	9.62294002741611	8.99194199488017	8.68850654523503	8.66563821288801	8.52582269246009	9.14408028963913	8.73060170012901	8.86029279280225	9.92029896532558	9.44528218853632	8.98224287229406	9.21307742158163	9.33997891192971	8.67555869869867	9.09729257106173	7.64444646874552	6.74220773697706	7.18220984243581	8.47395304399287	7.90243508510152	7.83626754407716
ABHD5	6.80352675802861	6.81602121052091	6.79482328119667	5.63573315658615	5.34221455200701	5.18188605520508	4.98538627565272	5.25619316596088	5.40977284493232	5.2281379413736	5.89421599772866	5.65621784245003	5.17485465052778	5.34322026069778	5.19446869139115	5.18479760739967	4.88214359833182	5.67156577884535	5.94118319055312	5.86928989860418	6.44974065768854	5.91981235552835	6.06177457144575
ABI2	8.1212104323749	8.25533130755448	8.31808734581701	8.14414862380702	7.52853138721997	7.50495300089043	6.6295015798261	7.78862486653145	7.71726098092919	7.93827540129493	8.14756408078424	8.08572224084541	7.48005997168898	7.52866536932924	7.52463661612763	7.44242920120115	6.81318588684179	7.44295533042902	6.49199922751793	6.92591901889848	7.35212462849977	7.05629442142321	6.91251261062268
ABO	5.94222195580584	6.66318434586032	6.60707465365118	6.17547540045539	6.28059673263687	5.24426320476585	5.58908615168894	6.18272412360988	5.62351451368485	5.88899632049204	6.35155644379287	5.79820409686925	5.9392134187621	5.58608013410769	5.96696053751998	5.86903517765655	5.45996328487139	5.33741569019191	4.14956895098993	4.6982509518939	5.44640015645696	4.63087154172442	5.64021707256378
ACADVL	11.3170094686241	11.4392297265887	11.6146480048106	11.1773132940628	10.7838687423668	10.871577233469	10.493438346965	11.2551796249586	11.3735432038208	11.0772737600126	11.4952891939565	11.2426203039852	10.9936500345903	11.0117603774725	10.7147569399691	10.5867177262507	10.7640685331921	10.0298014987328	10.002697418719	9.68971796886849	10.4651183671871	10.5246058609769	10.8390574176176
ACBD4	8.24805658284289	8.83058007034732	8.78401882895506	7.63888370667015	7.35811072423488	6.38362167287939	6.70547279544026	7.31384990500093	7.30762953875988	7.12053327059958	7.74128675966416	7.31349955478891	6.89713547719804	7.01090895792856	7.09328467526593	7.09586139154831	6.67386999430313	7.1717642140314	6.26601947731104	6.32571956644735	6.8835506990047	6.74752533095723	7.11423379016184
ACP2	8.96412232045329	8.97059708729845	9.08848423168247	8.89361551133074	8.8537921466015	8.58363631769051	8.32377658919258	9.42999066816755	8.76459013324916	8.7893060724585	9.54778740910986	9.46392474560466	8.76088572858388	8.34706593898668	8.57416628338125	8.35960490871314	8.43654713922772	8.32229704754533	7.17181545944402	7.11747984838306	8.32664309650867	8.00708304139591	8.60296375875063
