Reporter Identifier	T00247073 normalised intensity	T00247073 quality flag
GE1100063	23.922	GOOD
GE1100079	0.963	GOOD
GE1100082	0.183	EMPTY
GE1100112	9.952	GOOD
GE1100122	1.455	GOOD
GE1100133	23.633	GOOD
GE1100141	0.812	GOOD
GE1100147	0.203	EMPTY
GE1100158	24.755	GOOD
GE1100168	4.751	GOOD
GE1100172	2.809	GOOD
GE1100181	1.02	GOOD
GE1100194	2.105	GOOD
GE1100195	0.332	EMPTY
GE1100204	-0.097	NEGATIVE
GE1100206	0.186	EMPTY
GE1100210	0.558	EMPTY
GE1100215	1.298	GOOD
GE1100219	0.351	EMPTY
GE1100230	6.605	GOOD
GE1100240	2.675	GOOD
GE1100244	10.15	GOOD
GE1100246	15.764	GOOD
GE1100254	4.097	GOOD
GE1100257	0.559	EMPTY
GE1100270	1.861	GOOD
GE1100273	2.546	GOOD
GE1100287	2.147	POOR
GE1100293	0.02	EMPTY
GE1100320	0.055	EMPTY
GE1100325	0.051	EMPTY
GE1100326	8.4	GOOD
GE1100338	0.397	EMPTY
GE1100342	0.826	GOOD
GE1100343	0.319	EMPTY
GE1100349	0.195	EMPTY
GE1100350	0.235	EMPTY
GE1100359	5.001	GOOD
GE1100388	6.38	GOOD
GE1100398	0.064	EMPTY
GE1100402	6.634	GOOD
GE1100404	5.941	GOOD
GE1100407	0.242	EMPTY
GE1100419	0.349	EMPTY
GE1100420	1.283	GOOD
GE1100430	0.133	EMPTY
GE1100432	2.508	GOOD
GE1100445	0.298	EMPTY
GE1100449	0.228	EMPTY
GE1100462	0.203	EMPTY
GE1100475	0.49	EMPTY
GE1100480	-0.029	NEGATIVE
GE1100511	19.369	GOOD
GE1100514	5.153	GOOD
GE1100515	4.376	GOOD
GE1100517	4.336	GOOD
GE1100535	0.072	EMPTY
GE1100536	0.154	EMPTY
GE1100537	11.976	GOOD
GE1100546	15.04	GOOD
GE1100556	0.98	GOOD
GE1100560	18.132	GOOD
GE1100565	0.194	EMPTY
GE1100574	0.462	GOOD
GE1100575	0.007	EMPTY
GE1100577	28.661	GOOD
GE1100581	0.618	GOOD
GE1100584	14.846	GOOD
GE1100585	6.487	GOOD
GE1100587	0.146	EMPTY
GE1100598	0.129	EMPTY
GE1100615	19.593	GOOD
GE1100643	0.019	EMPTY
GE1100644	4.078	GOOD
GE1100657	0.786	GOOD
GE1100660	0.125	EMPTY
GE1100661	0.217	EMPTY
GE1100666	1.024	GOOD
GE1100671	3.347	GOOD
GE1100676	0.431	EMPTY
GE1100698	-0.027	NEGATIVE
GE1100699	0.218	EMPTY
GE1100721	0.15	EMPTY
GE1100728	3.08	GOOD
GE1100730	10.012	GOOD
GE1100750	0.051	EMPTY
GE1100771	0.253	EMPTY
GE1100773	0.285	EMPTY
GE1100785	0.108	EMPTY
GE1100788	1.746	GOOD
GE1100795	5.656	GOOD
GE1100796	0.277	EMPTY
GE1100802	0.346	EMPTY
GE1100803	0.107	EMPTY
GE1100806	9.566	GOOD
GE1100811	0.104	EMPTY
GE1100815	2.865	GOOD
GE1100825	0.487	EMPTY
GE1100841	1.065	GOOD
GE1100843	0.345	EMPTY
GE1100851	0.048	EMPTY
GE1100859	0.163	EMPTY
GE1100877	1.179	GOOD
GE1100884	0.918	GOOD
GE1100885	4.748	GOOD
GE1100893	0.637	EMPTY
GE1100902	11.588	GOOD
GE1100906	0.389	EMPTY
GE1100956	0.13	EMPTY
GE1100961	4.532	GOOD
GE1100977	0.206	EMPTY
GE1100984	31.48	GOOD
GE1100985	2.596	GOOD
GE1100989	0.229	EMPTY
GE1100998	0.075	EMPTY
GE1101010	13.77	GOOD
GE1101016	0.345	EMPTY
GE1101020	0.292	EMPTY
GE1101042	0.18	EMPTY
GE1101047	0.566	GOOD
GE1101056	0.33	EMPTY
GE1101066	9.744	POOR
GE1101079	1.346	GOOD
GE1101088	8.709	GOOD
GE1101119	0.239	EMPTY
GE1101120	0.31	EMPTY
GE1101129	34.683	GOOD
GE1101150	0.219	EMPTY
GE1101152	0.114	EMPTY
GE1101153	0.716	GOOD
GE1101156	2.135	GOOD
GE1101166	3.206	GOOD
GE1101171	1.018	GOOD
GE1101176	13.388	GOOD
GE1101178	0.134	EMPTY
GE1101202	1.001	GOOD
GE1101213	5.79	GOOD
GE1101225	0.112	EMPTY
GE1101227	6.508	GOOD
GE1101228	0.169	EMPTY
GE1101231	0.396	EMPTY
GE1101245	1.184	GOOD
GE1101249	0.233	EMPTY
GE1101256	0.283	EMPTY
GE1101275	1.983	GOOD
GE1101278	0.052	EMPTY
GE1101298	0.265	EMPTY
GE1101302	0.611	GOOD
GE1101316	0.922	GOOD
GE1101322	0.105	EMPTY
GE1101324	0.347	EMPTY
GE1101325	1.172	GOOD
GE1101341	0.999	GOOD
GE1101346	1.876	GOOD
GE1101351	0.182	EMPTY
GE1101364	6.148	GOOD
GE1101382	4.779	GOOD
GE1101391	2.72	GOOD
GE1101396	0.141	EMPTY
GE1101408	0.311	EMPTY
GE1101409	2.659	GOOD
GE1101411	0.752	GOOD
GE1101419	0.605	GOOD
GE1101422	0.308	EMPTY
GE1101424	0.751	GOOD
GE1101435	2.496	GOOD
GE1101436	1.356	GOOD
GE1101442	0.897	GOOD
GE1101452	1.74	GOOD
GE1101474	1.504	GOOD
GE1101481	0.266	EMPTY
GE1101484	0.567	GOOD
GE1101504	1.788	GOOD
GE1101508	10.542	GOOD
GE1101510	0.254	EMPTY
GE1101521	0.356	EMPTY
GE1101526	29.849	GOOD
GE1101528	0.263	EMPTY
GE1101534	0.135	EMPTY
GE1101537	1.143	GOOD
GE1101563	4.084	GOOD
GE1101568	0.159	EMPTY
GE1101572	10.728	POOR
GE1101576	0.247	EMPTY
GE1101596	0.475	EMPTY
GE1101628	16.779	GOOD
GE1101647	2.25	GOOD
GE1101657	4.805	GOOD
GE1101666	3.275	GOOD
GE1101669	0.176	EMPTY
GE1101671	0.125	EMPTY
GE1101687	3.122	GOOD
GE1101689	42.348	GOOD
GE1101701	0.044	EMPTY
GE1101702	0.417	EMPTY
GE1101708	0.87	GOOD
GE1101738	0.241	EMPTY
GE1101742	0.951	GOOD
GE1101754	0.142	EMPTY
GE1101761	5.777	GOOD
GE1101782	0.161	EMPTY
GE1101785	0.322	EMPTY
GE1101788	0.232	EMPTY
GE1101792	14.755	GOOD
GE1101794	0.174	EMPTY
GE1101802	1.707	GOOD
GE1101827	62.744	GOOD
GE1101846	0.987	GOOD
GE1101847	0.079	EMPTY
GE1101857	0.433	EMPTY
GE1101867	39.618	GOOD
GE1101868	1.092	GOOD
GE1101872	1.591	GOOD
GE1101875	0.044	EMPTY
GE1101886	0.201	EMPTY
GE1101902	0.334	EMPTY
GE1101914	4.999	GOOD
GE1101918	0.293	EMPTY
GE1101931	3.569	GOOD
GE1101942	0.865	GOOD
GE1101949	0.474	EMPTY
GE1101957	0.425	EMPTY
GE1101959	0.22	EMPTY
GE1101971	1.475	GOOD
GE1101973	1.15	GOOD
GE1101975	0.031	EMPTY
GE1101982	0.094	EMPTY
GE1101986	10.92	GOOD
GE1101999	0.133	EMPTY
GE1102007	0.679	GOOD
GE1102011	29.88	GOOD
GE1102023	0.2	EMPTY
GE1102030	0.601	GOOD
GE1102032	0.227	EMPTY
GE1102038	0.193	EMPTY
GE1102049	0.336	EMPTY
GE1102059	6.096	GOOD
GE1102077	0.122	EMPTY
GE1102098	0.671	GOOD
GE1102113	0.232	EMPTY
GE1102114	0.061	EMPTY
GE1102116	0.092	EMPTY
GE1102120	0.247	EMPTY
GE1102136	2.093	GOOD
GE1102163	1.397	GOOD
GE1102166	0.364	EMPTY
GE1102168	0.1	EMPTY
GE1102169	0.52	EMPTY
GE1102172	0.052	EMPTY
GE1102205	0.446	EMPTY
GE1102220	3.099	GOOD
GE1102225	1.842	GOOD
GE1102228	2.375	GOOD
GE1102257	0.656	GOOD
GE1102259	50.754	GOOD
GE1102270	0.224	EMPTY
GE1102273	158.397	GOOD
GE1102280	0.22	EMPTY
GE1102285	2.328	GOOD
GE1102293	0.239	EMPTY
GE1102295	0.237	EMPTY
GE1102300	0.115	EMPTY
GE1102312	7.701	GOOD
GE1102322	0.357	EMPTY
GE1102335	0.92	GOOD
GE1102337	0.265	EMPTY
GE1102338	1.224	GOOD
GE1102350	2.041	GOOD
GE1102357	0.069	EMPTY
GE1102369	0.322	EMPTY
GE1102371	5.341	GOOD
GE1102376	9.45	GOOD
GE1102381	1.061	GOOD
GE1102396	7.096	GOOD
GE1102398	0.924	GOOD
GE1102401	0.06	EMPTY
GE1102419	0.41	EMPTY
GE1102420	11.774	GOOD
GE1102422	0.092	EMPTY
GE1102432	0.104	EMPTY
GE1102436	0.807	GOOD
GE1102439	12.962	GOOD
GE1102461	1.229	GOOD
GE1102464	0.13	EMPTY
GE1102465	0.205	EMPTY
GE1102466	0.156	EMPTY
GE1102468	1.268	GOOD
GE1102488	0.164	EMPTY
GE1102495	1.613	GOOD
GE1102501	1.864	GOOD
GE1102524	0.113	EMPTY
GE1102526	0.008	EMPTY
GE1102559	0.207	EMPTY
GE1102564	10.621	GOOD
GE1102588	0.618	GOOD
GE1102599	0.519	GOOD
GE1102600	0.256	EMPTY
GE1102609	0.697	GOOD
GE1102617	7.87	GOOD
GE1102623	0.703	GOOD
GE1102634	2.372	GOOD
GE1102645	22.009	GOOD
GE1102654	1.772	GOOD
GE1102657	0.605	GOOD
GE1102660	0.224	EMPTY
GE1102670	0.445	EMPTY
GE1102675	0.078	EMPTY
GE1102694	0.577	GOOD
GE1102696	1.032	GOOD
GE1102699	0.699	GOOD
GE1102707	0.305	EMPTY
GE1102709	0.331	EMPTY
GE1102732	1.774	GOOD
GE1102743	6.452	GOOD
GE1102747	1.992	GOOD
