Reporter Identifier	T00247074 normalised intensity	T00247074 quality flag
GE1101794	0.165	EMPTY
GE1101802	1.6	GOOD
GE1101827	62.093	GOOD
GE1101846	0.929	GOOD
GE1101847	0.066	EMPTY
GE1101857	0.206	EMPTY
GE1101867	37.806	GOOD
GE1101868	0.966	GOOD
GE1101872	1.46	GOOD
GE1101875	0.073	EMPTY
GE1101886	0.104	EMPTY
GE1101902	0.106	EMPTY
GE1101914	4.843	GOOD
GE1101918	0.568	GOOD
GE1101931	4.449	GOOD
GE1101942	0.744	GOOD
GE1101949	0.338	EMPTY
GE1101957	0.22	EMPTY
GE1101959	0.164	EMPTY
GE1101971	1.615	GOOD
GE1101973	1.004	GOOD
GE1101975	0.285	EMPTY
GE1101982	0.038	EMPTY
GE1101986	10.924	GOOD
GE1101999	0.042	EMPTY
GE1102007	0.89	GOOD
GE1102011	27.36	GOOD
GE1102023	0.164	EMPTY
GE1102030	0.284	EMPTY
GE1102032	0.282	EMPTY
GE1102038	0.202	EMPTY
GE1102049	0.259	EMPTY
GE1102059	5.563	GOOD
GE1102077	0.153	EMPTY
GE1102098	0.247	EMPTY
GE1102113	0.269	EMPTY
GE1102114	0.148	EMPTY
GE1102116	0.497	GOOD
GE1102120	0.162	EMPTY
GE1102136	1.714	GOOD
GE1102163	1.062	GOOD
GE1102166	0.521	GOOD
GE1102168	0.058	EMPTY
GE1102169	0.358	EMPTY
GE1102172	0.261	EMPTY
GE1102205	0.253	EMPTY
GE1102220	3.041	GOOD
GE1102225	1.906	GOOD
GE1102228	2.718	GOOD
GE1102257	0.609	GOOD
GE1102259	58.235	GOOD
GE1102270	0.175	EMPTY
GE1102273	152.752	GOOD
GE1102280	0.084	EMPTY
GE1102285	2.19	GOOD
GE1102293	0.135	EMPTY
GE1102295	0.048	EMPTY
GE1102300	0.152	EMPTY
GE1102312	6.929	GOOD
GE1102322	0.015	EMPTY
GE1102335	0.83	GOOD
GE1102337	0.184	EMPTY
GE1102338	0.939	GOOD
GE1102350	2.225	GOOD
GE1102357	0.255	EMPTY
GE1102369	0.099	EMPTY
GE1102371	5.213	GOOD
GE1102376	10.243	GOOD
GE1102381	1.125	GOOD
GE1102396	11.147	GOOD
GE1102398	0.941	GOOD
GE1102401	0.194	EMPTY
GE1102419	0.348	EMPTY
GE1102420	12.67	GOOD
GE1102422	0.034	EMPTY
GE1102432	0.099	EMPTY
GE1102436	0.789	GOOD
GE1102439	13.763	GOOD
GE1102461	1.347	POOR
GE1102464	0.038	EMPTY
GE1102465	0.216	EMPTY
GE1102466	0.204	EMPTY
GE1102468	1.366	GOOD
GE1102488	0.139	EMPTY
GE1102495	1.585	GOOD
GE1102501	2.005	GOOD
GE1102524	0.048	EMPTY
GE1102526	0.087	EMPTY
GE1102559	0.273	EMPTY
GE1102564	10.945	GOOD
GE1102588	0.653	GOOD
GE1102599	0.397	EMPTY
GE1102600	0.151	EMPTY
GE1102609	0.576	GOOD
GE1102617	8.882	GOOD
GE1102623	0.653	GOOD
GE1102634	3.382	GOOD
GE1102645	15.145	GOOD
GE1102654	1.716	GOOD
GE1102657	0.566	GOOD
GE1102660	0.184	EMPTY
GE1102670	0.218	EMPTY
GE1102675	0.263	EMPTY
GE1102694	0.259	EMPTY
GE1102696	0.914	GOOD
GE1102699	0.651	GOOD
GE1102707	0.535	GOOD
GE1102709	0.197	EMPTY
GE1102732	1.985	GOOD
GE1102743	7.928	GOOD
GE1102747	2.008	GOOD
GE1102760	11.702	GOOD
GE1102770	1.158	GOOD
GE1102784	0.251	EMPTY
GE1102806	0.548	GOOD
GE1102809	0.182	EMPTY
GE1102812	1.899	GOOD
GE1102817	2.412	GOOD
GE1102826	3.279	GOOD
GE1102827	0.55	GOOD
GE1102835	39.752	GOOD
GE1102862	0.882	GOOD
GE1102864	0.233	EMPTY
GE1102884	0.206	EMPTY
GE1102886	5.181	GOOD
GE1102905	0.081	EMPTY
GE1102907	1.571	GOOD
GE1102914	0.242	EMPTY
GE1102915	0.121	EMPTY
GE1102919	0.246	EMPTY
GE1102944	0.733	GOOD
GE1102946	0.136	EMPTY
GE1102947	0.128	EMPTY
GE1102956	11.082	GOOD
GE1102965	0.399	EMPTY
GE1102983	0.56	GOOD
GE1102995	5.574	GOOD
GE1102996	0.967	GOOD
GE1103006	7.006	GOOD
GE1103035	2.196	GOOD
GE1103039	1.486	GOOD
GE1103042	0.161	EMPTY
GE1103044	4.004	GOOD
GE1103052	0.162	EMPTY
GE1103056	5.362	GOOD
GE1103078	44.289	GOOD
GE1103079	0.282	EMPTY
GE1103084	0.214	EMPTY
GE1103091	0.13	EMPTY
GE1103092	2.264	GOOD
GE1103095	0.467	EMPTY
GE1103097	0.367	EMPTY
GE1103100	0.154	EMPTY
GE1103108	0.392	EMPTY
GE1103116	1.167	GOOD
GE1103126	5.504	GOOD
GE1103141	0.055	EMPTY
GE1103153	0.422	EMPTY
GE1103159	0.514	GOOD
GE1103162	0.208	EMPTY
GE1103173	0.519	GOOD
GE1103185	5.591	GOOD
GE1103205	26.243	GOOD
GE1103219	0.125	EMPTY
GE1103230	0.491	EMPTY
GE1103238	1.11	GOOD
GE1103241	0.399	EMPTY
GE1103252	0.327	EMPTY
GE1103255	0.159	EMPTY
GE1103261	0.157	EMPTY
GE1103262	2.786	GOOD
GE1103266	0.114	EMPTY
GE1103270	3.165	GOOD
GE1103282	0.193	EMPTY
GE1103283	0.175	EMPTY
GE1103289	1.104	GOOD
GE1103292	0.143	EMPTY
GE1103304	6.74	GOOD
GE1103305	90.187	GOOD
GE1103310	6.543	GOOD
GE1103357	2.4	GOOD
GE1103365	1.146	GOOD
GE1103376	2.736	GOOD
GE1103389	0.148	EMPTY
GE1103391	0.222	EMPTY
GE1103406	0.249	EMPTY
GE1103413	29.433	GOOD
GE1103424	1.029	GOOD
GE1103429	0.178	EMPTY
GE1103433	37.664	GOOD
GE1103441	1.377	GOOD
GE1103458	0.23	EMPTY
GE1103478	0.067	EMPTY
GE1103490	6.873	GOOD
GE1103491	0.278	EMPTY
GE1103492	9.325	GOOD
GE1103505	1.315	GOOD
GE1103522	9.17	GOOD
GE1103523	0.268	EMPTY
GE1103524	0.777	GOOD
GE1103529	0.916	GOOD
GE1103531	1.656	POOR
GE1103532	2.091	GOOD
GE1103550	0.217	EMPTY
GE1103552	0.216	EMPTY
GE1103557	0.76	GOOD
GE1103578	0.051	EMPTY
GE1103605	4.779	GOOD
GE1103606	-0.043	NEGATIVE
GE1103614	0.104	EMPTY
GE1103615	0.523	GOOD
GE1103623	0.429	EMPTY
GE1103633	0.343	EMPTY
GE1103635	2.962	GOOD
GE1103641	0.138	EMPTY
GE1103644	0.179	EMPTY
GE1103679	1.557	GOOD
GE1103681	4.412	GOOD
GE1103689	10.124	GOOD
GE1103698	0.271	EMPTY
GE1103709	0.722	GOOD
GE1103717	0.604	GOOD
GE1103739	1.706	GOOD
GE1103753	4.469	GOOD
GE1103758	0.264	EMPTY
GE1103759	0.188	EMPTY
GE1103764	0.229	EMPTY
GE1103791	1.576	GOOD
GE1103796	0.328	EMPTY
GE1103797	0.471	EMPTY
GE1103809	0.231	EMPTY
GE1103811	0.08	EMPTY
GE1103814	1.672	GOOD
GE1103820	1.356	GOOD
GE1103826	0.934	GOOD
GE1103828	1.733	GOOD
GE1103845	2.364	GOOD
GE1103849	0.725	GOOD
GE1103865	0.143	EMPTY
GE1103867	0.484	GOOD
GE1103868	0.489	GOOD
GE1103870	0.246	EMPTY
GE1103875	2.574	GOOD
GE1103901	0.526	GOOD
GE1103905	1.789	GOOD
GE1103910	0.163	EMPTY
GE1103914	0.733	GOOD
GE1103915	1.512	GOOD
GE1103924	0.289	EMPTY
GE1103943	2.898	GOOD
GE1103948	3.101	GOOD
GE1103952	0.382	EMPTY
GE1103964	4.556	GOOD
GE1103965	0.617	GOOD
GE1103991	11.982	GOOD
GE1103994	0.096	EMPTY
GE1104000	10.778	GOOD
GE1104007	0.839	GOOD
GE1104016	0.059	EMPTY
GE1104017	5.149	GOOD
GE1104027	0.274	EMPTY
GE1104034	0.864	GOOD
GE1104044	0.032	EMPTY
GE1104048	0.282	EMPTY
GE1104067	6.169	GOOD
GE1104073	22.214	GOOD
GE1104090	0.093	EMPTY
GE1104096	1.379	GOOD
GE1104101	1	GOOD
GE1104103	5.761	GOOD
GE1104104	7.925	GOOD
GE1104121	4.31	GOOD
GE1104122	29.703	GOOD
GE1104124	0.539	GOOD
GE1104139	7.743	GOOD
GE1104153	0.213	EMPTY
GE1104162	0.653	GOOD
GE1104171	0.09	EMPTY
GE1104185	6.257	GOOD
GE1104203	0.103	EMPTY
GE1104210	0.283	EMPTY
GE1104216	3.31	GOOD
GE1104220	2.227	GOOD
GE1104238	0.188	EMPTY
GE1104239	1.011	GOOD
GE1104242	0.1	EMPTY
GE1104244	0.274	EMPTY
GE1104256	0.18	EMPTY
GE1104269	0.042	EMPTY
GE1104278	0.084	EMPTY
GE1104279	0.03	EMPTY
GE1104285	1.199	GOOD
GE1104289	0.28	EMPTY
GE1104301	1.668	POOR
GE1104303	0.111	EMPTY
GE1104308	0.79	GOOD
GE1104317	0.037	EMPTY
GE1104347	0.231	EMPTY
GE1104348	0.175	EMPTY
GE1104363	0.792	GOOD
GE1104366	1.738	GOOD
GE1104370	0.85	GOOD
GE1104371	2.942	GOOD
GE1104373	139.541	GOOD
GE1104401	19.683	GOOD
GE1104405	0.495	GOOD
GE1104416	0.374	EMPTY
GE1104423	0.098	EMPTY
GE1104425	0.444	EMPTY
GE1104433	0.245	EMPTY
GE1104448	5.23	GOOD
GE1104464	2.424	GOOD
GE1104467	1.163	GOOD
GE1104471	4.731	GOOD
GE1104482	0.381	EMPTY
GE1104489	0.908	GOOD
GE1104493	0.018	EMPTY
GE1104514	1.621	GOOD
GE1104517	0.283	EMPTY
GE1104531	8.29	GOOD
GE1104534	1.34	GOOD
GE1104541	1.616	GOOD
GE1104545	0.098	EMPTY
GE1104550	2.502	GOOD
GE1104564	0.159	EMPTY
GE1104583	4.447	GOOD
GE1104587	0.012	EMPTY
GE1104601	1.257	GOOD
GE1104607	0.078	EMPTY
GE1104608	1.42	GOOD
GE1104610	0.231	EMPTY
GE1104619	0.126	EMPTY
GE1104649	0.601	GOOD
GE1104656	3.673	GOOD
GE1104662	0.374	EMPTY
GE1104671	9.734	GOOD
GE1104678	0.799	GOOD
GE1104681	33.972	GOOD
GE1104683	0.105	EMPTY
GE1104688	5.424	GOOD
GE1104692	11.37	GOOD
GE1104698	0.486	GOOD
GE1104703	0.255	EMPTY
GE1104705	0.132	EMPTY
GE1104719	0.139	EMPTY
GE1104727	0.184	EMPTY
GE1104731	0.012	EMPTY
GE1104733	2.509	GOOD
GE1104737	2.18	GOOD
GE1104759	0.301	EMPTY
GE1104785	14.094	GOOD
GE1104790	0.132	EMPTY
GE1104792	4.165	GOOD
GE1104803	4.42	GOOD
GE1104805	0.394	EMPTY
GE1104825	0.131	EMPTY
GE1104826	1.249	GOOD
GE1104865	2.318	GOOD
GE1104869	0.113	EMPTY
GE1104872	0.797	GOOD
GE1104885	0.163	EMPTY
GE1104887	0.206	EMPTY
GE1104894	3.059	GOOD
GE1104900	0.174	EMPTY
GE1104916	1.523	GOOD
GE1104918	0.534	GOOD
GE1104928	0.025	EMPTY
GE1104940	1.125	GOOD
GE1104943	0.046	EMPTY
GE1104952	0.37	EMPTY
GE1104958	1.754	GOOD
GE1104964	7.062	GOOD
GE1104972	1.511	GOOD
GE1104985	0.312	EMPTY
GE1104989	1.654	GOOD
GE1104994	0.032	EMPTY
GE1105012	2.44	GOOD
GE1105016	1.545	GOOD
GE1105019	1.329	GOOD
GE1105029	4.441	GOOD
GE1105052	0.044	EMPTY
GE1105058	3.662	GOOD
GE1105078	1.306	GOOD
GE1105080	0.124	EMPTY
GE1105085	11.096	GOOD
GE1105086	12.472	GOOD
GE1105101	0.921	GOOD
GE1105106	3.836	GOOD
GE1105115	3.605	GOOD
GE1105117	0.896	GOOD
GE1105134	0.835	GOOD
GE1105140	4.04	GOOD
GE1105151	4.682	GOOD
GE1105158	0.199	EMPTY
GE1105168	0.223	EMPTY
GE1105170	0.132	EMPTY
GE1105171	0.13	EMPTY
GE1105178	0.377	EMPTY
GE1105213	1.188	GOOD
GE1105220	2.442	GOOD
GE1105221	3.714	GOOD
GE1105222	0.327	EMPTY
GE1105232	9.685	GOOD
GE1105248	0.587	GOOD
GE1105255	0.421	GOOD
GE1105257	0.179	EMPTY
GE1105283	26.901	GOOD
GE1105286	0.15	EMPTY
GE1105292	0.27	EMPTY
GE1105300	2.192	GOOD
GE1105303	0.183	EMPTY
GE1105317	2.093	GOOD
GE1105323	3.012	GOOD
GE1105356	0.344	EMPTY
GE1105372	0.215	EMPTY
GE1105391	0.489	GOOD
GE1105405	1.321	GOOD
GE1105422	2.476	GOOD
GE1105432	-0.031	NEGATIVE
GE1105433	1.439	GOOD
GE1105438	13.351	GOOD
GE1105443	4.452	GOOD
GE1105445	16.188	GOOD
GE1105456	32.164	GOOD
GE1105472	6.331	GOOD
GE1105475	0.268	EMPTY
GE1105479	0.356	EMPTY
GE1105483	0.66	GOOD
GE1105486	4.484	GOOD
GE1105505	0.722	GOOD
GE1105508	15.016	GOOD
GE1105542	0.143	EMPTY
GE1105553	0.173	EMPTY
GE1105558	0.461	EMPTY
GE1105562	0.281	EMPTY
GE1105583	8.131	GOOD
GE1105592	0.168	EMPTY
GE1105595	0.209	EMPTY
GE1105600	0.199	EMPTY
GE1105607	0.237	EMPTY
GE1105608	0.898	GOOD
GE1105614	2.021	GOOD
GE1105647	0.152	EMPTY
GE1105653	12.931	GOOD
GE1105654	1.585	GOOD
GE1105673	0.226	EMPTY
GE1105681	0.182	EMPTY
GE1105692	0.12	EMPTY
GE1105693	3.916	GOOD
GE1105694	0	EMPTY
GE1105697	0.179	EMPTY
GE1105700	1.333	GOOD
GE1105710	56.154	GOOD
GE1105712	0.295	EMPTY
GE1105739	4.226	GOOD
GE1105748	25.54	GOOD
GE1105754	0.696	GOOD
GE1105756	0.187	EMPTY
GE1105768	0.638	GOOD
GE1105779	1.092	GOOD
GE1105782	4.126	GOOD
GE1105784	0.309	EMPTY
GE1105810	11.114	GOOD
GE1105811	0.116	EMPTY
GE1105814	0.159	EMPTY
GE1105832	0.118	EMPTY
GE1105835	3.571	GOOD
GE1105853	0.135	EMPTY
GE1105855	0.793	GOOD
GE1105860	3.603	GOOD
GE1105875	1.657	GOOD
GE1105878	0.34	EMPTY
GE1105885	0.11	EMPTY
GE1105887	0.114	EMPTY
GE1105900	2.427	GOOD
GE1105904	0.109	EMPTY
GE1105914	3.712	GOOD
GE1105944	17.763	GOOD
GE1105945	0.398	EMPTY
GE1105980	0.278	EMPTY
GE1105989	0.128	EMPTY
GE1105994	7.211	GOOD
GE1106001	1.208	GOOD
GE1106011	0.09	EMPTY
GE1106029	0.175	EMPTY
GE1106030	0.153	EMPTY
GE1106034	0.267	EMPTY
GE1106054	0.16	EMPTY
GE1106069	0.167	EMPTY
GE1106080	9.296	GOOD
GE1106081	1.299	GOOD
GE1106085	2.037	GOOD
GE1106091	0.231	EMPTY
GE1106105	0.14	EMPTY
GE1106113	0.703	GOOD
GE1106119	NA	MSR
GE1106120	0.142	EMPTY
GE1106134	0.9	GOOD
GE1106136	0.296	EMPTY
GE1106143	0.178	EMPTY
GE1106161	1.362	GOOD
GE1106171	0.085	EMPTY
GE1106172	13.978	GOOD
GE1106184	4.1	GOOD
GE1106195	1.284	GOOD
GE1106196	0.181	EMPTY
GE1106198	7.862	GOOD
GE1106203	0.056	EMPTY
GE1106204	0.142	EMPTY
GE1106226	0.276	EMPTY
GE1106233	0.15	EMPTY
GE1106240	0.107	EMPTY
GE1106247	0.252	EMPTY
GE1106248	0.134	EMPTY
GE1106251	0.231	EMPTY
GE1106253	0.142	EMPTY
GE1106255	1.763	GOOD
GE1106264	0.143	EMPTY
GE1106278	0.791	GOOD
GE1106290	9.274	GOOD
GE1106291	0.115	EMPTY
GE1106299	1.458	GOOD
GE1106315	0.961	GOOD
GE1106324	0.057	EMPTY
GE1106331	0.741	GOOD
GE1106335	77.607	GOOD
GE1106337	0.364	EMPTY
GE1106366	0.589	GOOD
GE1106373	0.266	EMPTY
GE1106402	0.422	EMPTY
GE1106419	11.032	GOOD
GE1106431	0.953	GOOD
GE1106449	1.082	GOOD
GE1106460	13.815	GOOD
GE1106461	0.12	EMPTY
GE1106479	6.399	GOOD
GE1106481	0.076	EMPTY
GE1106495	0.374	EMPTY
GE1106528	0.67	GOOD
GE1106531	0.148	EMPTY
GE1106539	0.265	EMPTY
GE1106544	1.216	GOOD
GE1106563	78.584	GOOD
GE1106566	0.135	EMPTY
GE1106583	1.024	GOOD
GE1106586	48.818	GOOD
GE1106588	0.583	GOOD
GE1106589	0.165	EMPTY
GE1106598	14.609	GOOD
GE1106623	0.225	EMPTY
GE1106624	0.43	EMPTY
GE1106625	0.226	EMPTY
GE1106637	8.701	GOOD
GE1106639	0.335	EMPTY
GE1106647	0.427	EMPTY
GE1106648	0.221	EMPTY
GE1106665	0.271	EMPTY
GE1106666	0.746	GOOD
GE1106672	1.788	GOOD
GE1106673	0.103	EMPTY
GE1106674	0.914	GOOD
GE1106689	0.604	GOOD
GE1106696	4.392	GOOD
GE1106702	0.133	EMPTY
GE1106708	0.159	EMPTY
GE1106716	4.363	GOOD
GE1106720	0.032	EMPTY
GE1106725	0.198	EMPTY
GE1106740	8.21	GOOD
GE1106749	14.524	GOOD
GE1106758	7.94	GOOD
GE1106773	2.653	GOOD
GE1106781	1.081	GOOD
GE1106789	0.473	GOOD
GE1106815	0.095	EMPTY
GE1106842	3.262	GOOD
GE1106860	1.033	GOOD
GE1106863	0.087	EMPTY
GE1106865	0.91	GOOD
GE1106878	0.122	EMPTY
GE1106902	0.069	EMPTY
GE1106909	0.25	EMPTY
