Reporter Identifier	T00275904 normalised intensity	T00275904 quality flag
GE1100063	19.973	GOOD
GE1100079	1.674	GOOD
GE1100082	0.177	EMPTY
GE1100112	11.684	GOOD
GE1100122	1.364	GOOD
GE1100133	20.174	GOOD
GE1100141	0.888	GOOD
GE1100147	0.436	GOOD
GE1100158	19.91	GOOD
GE1100168	7.392	GOOD
GE1100172	2.379	GOOD
GE1100181	0.698	GOOD
GE1100194	1.518	GOOD
GE1100195	0.279	EMPTY
GE1100204	0.164	EMPTY
GE1100206	0.199	EMPTY
GE1100210	0.413	GOOD
GE1100215	1.341	GOOD
GE1100219	0.65	GOOD
GE1100230	6.943	GOOD
GE1100240	2.59	GOOD
GE1100244	10.235	GOOD
GE1100246	14.588	GOOD
GE1100254	3.695	GOOD
GE1100257	0.534	GOOD
GE1100270	3.688	GOOD
GE1100273	2.253	GOOD
GE1100287	3.714	GOOD
GE1100293	0.132	EMPTY
GE1100320	0.101	EMPTY
GE1100325	0.218	EMPTY
GE1100326	8.792	GOOD
GE1100338	0.098	EMPTY
GE1100342	0.926	GOOD
GE1100343	0.177	EMPTY
GE1100349	0.07	EMPTY
GE1100350	0.296	EMPTY
GE1100359	4.259	GOOD
GE1100388	5.827	GOOD
GE1100398	0.112	EMPTY
GE1100402	9.318	GOOD
GE1100404	4.338	GOOD
GE1100407	0.11	EMPTY
GE1100419	0.425	EMPTY
GE1100420	0.981	GOOD
GE1100430	0.159	EMPTY
GE1100432	2.996	GOOD
GE1100445	0.24	EMPTY
GE1100449	0.192	EMPTY
GE1100462	0.25	EMPTY
GE1100475	0.528	GOOD
GE1100480	0.15	EMPTY
GE1100511	21.327	GOOD
GE1100514	4.623	GOOD
GE1100515	5.065	GOOD
GE1100517	4.751	GOOD
GE1100535	0.123	EMPTY
GE1100536	0.195	EMPTY
GE1100537	8.186	GOOD
GE1100546	12.253	GOOD
GE1100556	0.787	GOOD
GE1100560	13.997	GOOD
GE1100565	0.218	EMPTY
GE1100574	0.434	GOOD
GE1100575	0.202	EMPTY
GE1100577	20.113	GOOD
GE1100581	0.605	GOOD
GE1100584	12.066	POOR
GE1100585	6.278	GOOD
GE1100587	0.088	EMPTY
GE1100598	0.181	EMPTY
GE1100615	17.075	GOOD
GE1100643	0.082	EMPTY
GE1100644	4.327	GOOD
GE1100657	0.753	GOOD
GE1100660	0.118	EMPTY
GE1100661	0.307	EMPTY
GE1100666	1.386	GOOD
GE1100671	4.622	GOOD
GE1100676	0.734	GOOD
GE1100698	0.176	EMPTY
GE1100699	0.082	EMPTY
GE1100721	0.149	EMPTY
GE1100728	3.753	GOOD
GE1100730	8.994	GOOD
GE1100750	0.125	EMPTY
GE1100771	0.168	EMPTY
GE1100773	0.362	EMPTY
GE1100785	0.128	EMPTY
GE1100788	1.297	GOOD
GE1100795	4.902	GOOD
GE1100796	0.233	EMPTY
GE1100802	0.334	EMPTY
GE1100803	0.19	EMPTY
GE1100806	7.851	GOOD
GE1100811	0.117	EMPTY
GE1100815	2.71	GOOD
GE1100825	0.716	GOOD
GE1100841	1.584	GOOD
GE1100843	0.643	GOOD
GE1100851	0.143	EMPTY
GE1100859	0.181	EMPTY
GE1100877	0.849	GOOD
GE1100884	1.003	GOOD
GE1100885	3.492	GOOD
GE1100893	0.506	GOOD
GE1100902	8.646	GOOD
GE1100906	0.442	GOOD
GE1100956	0.083	EMPTY
GE1100961	3.698	GOOD
GE1100977	0.156	EMPTY
GE1100984	27.917	GOOD
GE1100985	2.017	GOOD
GE1100989	0.413	GOOD
GE1100998	0.132	EMPTY
GE1101010	13.987	GOOD
GE1101016	0.527	GOOD
GE1101020	0.267	EMPTY
GE1101042	0.312	EMPTY
GE1101047	0.381	EMPTY
GE1101056	0.107	EMPTY
GE1101066	7.604	GOOD
GE1101079	1.33	GOOD
GE1101088	9.585	GOOD
GE1101119	0.105	EMPTY
GE1101120	0.179	EMPTY
GE1101129	28.17	GOOD
GE1101150	0.206	EMPTY
GE1101152	0.057	EMPTY
GE1101153	0.856	GOOD
GE1101156	2.326	GOOD
GE1101166	5.465	GOOD
GE1101171	1.083	GOOD
GE1101176	11.755	GOOD
GE1101178	0.055	EMPTY
GE1101202	1.08	GOOD
GE1101213	4.913	GOOD
GE1101225	0.22	EMPTY
GE1101227	6.634	GOOD
GE1101228	0.246	EMPTY
GE1101231	0.345	EMPTY
GE1101245	0.985	GOOD
GE1101249	0.422	EMPTY
GE1101256	0.183	EMPTY
GE1101275	1.718	GOOD
GE1101278	0.053	EMPTY
GE1101298	0.149	EMPTY
GE1101302	0.617	GOOD
GE1101316	0.939	GOOD
GE1101322	0.13	EMPTY
GE1101324	0.192	EMPTY
GE1101325	1.261	GOOD
GE1101341	0.644	GOOD
GE1101346	2.023	GOOD
GE1101351	0.238	EMPTY
