Symbol	MMF_2_27_norm
0610005C13Rik	12.76567211
0610007P14Rik	10.52000811
0610009B22Rik	10.11372308
0610009L18Rik	6.966881692
0610009O20Rik	11.31771566
0610010B08Rik	7.288809787
0610010F05Rik	10.27500399
0610010K14Rik	7.84391774
0610011F06Rik	11.41612862
0610012G03Rik	10.44800838
0610030E20Rik	11.58858474
0610031J06Rik	11.86631055
0610037L13Rik	8.962581554
0610040F04Rik	7.495739441
0610040J01Rik	11.05938716
0610043K17Rik	5.481454865
1100001G20Rik	6.896492364
1110001J03Rik	10.7319112
1110002L01Rik	7.288809787
1110004E09Rik	10.24875654
1110004F10Rik	11.93156636
1110007C09Rik	9.817738253
1110008F13Rik	10.50530161
1110008L16Rik	10.0563637
1110008P14Rik	8.42631331
1110012L19Rik	9.711555381
1110032A03Rik	10.71539404
1110032F04Rik	3.74448927
1110034G24Rik	7.714115621
1110037F02Rik	10.84135081
1110038B12Rik	9.141351129
1110038F14Rik	9.132984982
1110051M20Rik	9.322757119
1110054M08Rik	8.401112756
1110057K04Rik	10.03806638
1110058L19Rik	9.129153121
1110059E24Rik	10.11759609
1110059G10Rik	9.734435606
1110065P20Rik	8.517078774
1190002N15Rik	9.109839646
1190007I07Rik	7.543832962
1200014J11Rik	10.75943961
1300002E11Rik	8.772030043
1300002K09Rik	10.90883755
1300017J02Rik	7.316031255
1500004A13Rik	8.683088726
1500009L16Rik	5.033995888
1500011B03Rik	9.76259516
1500011K16Rik	9.537460274
1500012F01Rik	10.54610782
1500015A07Rik	8.534566201
1600002H07Rik	8.534566201
1600002K03Rik	7.232775752
1600014C10Rik	11.52691281
1600016N20Rik	8.302484724
1600020E01Rik	9.280145959
1700001L05Rik	7.822491782
1700001O22Rik	5.867615084
1700003E16Rik	7.896492364
1700003G13Rik	6.64065346
1700003H04Rik	5.859966488
1700003M02Rik	8.15952677
1700007F19Rik	6.033995888
1700007J10Rik	7.505301607
1700007L15Rik	7.189274113
1700008J07Rik	8.381919191
1700010I14Rik	5.859966488
1700011H14Rik	12.50382268
1700013H16Rik	9.26456224
1700016C15Rik	8.254044369
1700017B05Rik	9.407454283
1700017D01Rik	8.329451771
1700018F24Rik	7.246989611
1700018L02Rik	7.11372308
1700019G17Rik	7.930397756
1700019L03Rik	6.764388828
1700020I14Rik	10.98546994
1700021F05Rik	9.178190614
1700021K19Rik	10.03090955
1700024P16Rik	8.485916608
1700025G04Rik	8.693505342
1700025N23Rik	7.0502977
1700028J19Rik	8.624412819
1700029J07Rik	8.749489952
1700030J22Rik	5.528760579
1700030K09Rik	8.683088726
1700034H15Rik	8.218420459
1700037C18Rik	8.288809787
1700037H04Rik	9.672596352
1700040L02Rik	9.520008105
1700047E10Rik	7.232775752
1700049G17Rik	8.65671331
1700052K11Rik	9.038088642
1700052N19Rik	8.774236614
1700055N04Rik	5.703847286
1700063D05Rik	5.528760579
