Symbol	Vehicle_2_7_norm
0610005C13Rik	12.19508701
0610007P14Rik	10.50623572
0610009B22Rik	10.06760757
0610009L18Rik	7.044707165
0610009O20Rik	11.38783068
0610010B08Rik	7.488313816
0610010F05Rik	9.975255284
0610010K14Rik	8.106386249
0610011F06Rik	11.96728562
0610012G03Rik	10.58175468
0610030E20Rik	11.01776734
0610031J06Rik	12.79209456
0610037L13Rik	9.394072442
0610040F04Rik	7.826288183
0610040J01Rik	11.38612369
0610043K17Rik	6.806843335
1100001G20Rik	6.538354499
1110001J03Rik	10.36085291
1110002L01Rik	7.218474232
1110004E09Rik	10.02582915
1110004F10Rik	11.33689994
1110007C09Rik	9.631591978
1110008F13Rik	10.49888306
1110008L16Rik	9.940009786
1110008P14Rik	9.562738657
1110012L19Rik	9.271215695
1110032A03Rik	10.18483139
1110032F04Rik	4.663885381
1110034G24Rik	7.87982278
1110037F02Rik	10.77240984
1110038B12Rik	8.546551455
1110038F14Rik	9.394072442
1110051M20Rik	9.554656311
1110054M08Rik	7.961565929
1110057K04Rik	10.14864425
1110058L19Rik	9.373543629
1110059E24Rik	9.811938202
1110059G10Rik	9.163731268
1110065P20Rik	8.513551108
1190002N15Rik	9.081737896
1190007I07Rik	7.613054349
1200014J11Rik	10.47766657
1300002E11Rik	8.928044601
1300002K09Rik	11.803863
1300017J02Rik	6.58671752
1500004A13Rik	7.479802316
1500009L16Rik	5.364325099
1500011B03Rik	8.896271693
1500011K16Rik	9.371244513
1500012F01Rik	9.87982278
1500015A07Rik	7.570775976
1600002H07Rik	8.243829807
1600002K03Rik	7.538354499
1600014C10Rik	11.31433882
1600016N20Rik	8.021437385
1600020E01Rik	8.147698657
1700001L05Rik	7.513551108
1700001O22Rik	6.461980062
1700003E16Rik	8.044707165
1700003G13Rik	6.663885381
1700003H04Rik	6.187447337
1700003M02Rik	7.866825439
1700007F19Rik	5.833810382
1700007J10Rik	6.751348222
1700007L15Rik	6.101290693
1700008J07Rik	8.594622718
1700010I14Rik	6.326850393
1700011H14Rik	12.58696521
1700013H16Rik	8.015560819
1700016C15Rik	10.17300057
1700017B05Rik	9.964619253
1700017D01Rik	7.530133992
1700018F24Rik	6.648778488
1700018L02Rik	6.364325099
1700019G17Rik	7.365036136
1700019L03Rik	6.820389866
1700020I14Rik	10.0015875
1700021F05Rik	9.650675524
1700021K19Rik	10.49729788
1700024P16Rik	8.433157508
1700025G04Rik	8.726381307
1700025N23Rik	6.453962311
1700028J19Rik	8.772409838
1700029J07Rik	8.218474232
1700030J22Rik	7.197863953
1700030K09Rik	8.574777907
1700034H15Rik	7.112345882
1700037C18Rik	8.161071921
1700037H04Rik	9.860282594
1700040L02Rik	9.492550809
1700047E10Rik	6.751348222
1700049G17Rik	8.288376246
1700052K11Rik	9.115096493
1700052N19Rik	8.943109025
1700055N04Rik	6.418772883
1700063D05Rik	6.03311919
1700066M21Rik	8.719167816
1700067K01Rik	6.123316999
1700067P10Rik	6.806843335
1700071K01Rik	9.352718479
1700073E17Rik	9.964619253
1700084J12Rik	7.886277802
1700088E04Rik	8.54652843
1700091H14Rik	5.693632724
1700094D03Rik	8.582748618
1700096K18Rik	7.123316999
1700097N02Rik	6.145012071
1700101I11Rik	5.693632724
1700112E06Rik	9.176954963
1700113A16Rik	8.704631723
1700123O12Rik	6.602484836
1700123O20Rik	10.42875697
1810009A15Rik	9.41455519
1810010H24Rik	6.101290693
1810011H11Rik	6.288376246
1810011O10Rik	10.12058203
1810013L24Rik	11.26998209
1810014B01Rik	8.405352367
1810019D21Rik	9.78920892
1810021B22Rik	6.873338746
1810022K09Rik	9.847107205
1810026B05Rik	9.496775395
1810026J23Rik	11.41263731
1810030O07Rik	10.37927544
1810032O08Rik	7.928712294
1810034E14Rik	6.326850393
1810037I17Rik	10.80684333
1810041L15Rik	7.554656311
1810043G02Rik	9.889494515
1810043H04Rik	9.263798223
1810044D09Rik	6.860282594
1810055G02Rik	8.72277907
1810058I24Rik	11.19113926
1810065E05Rik	5.72277907
2010001E11Rik	7.056202804
2010002M12Rik	5.961565929
2010003K11Rik	6.208205897
2010012O05Rik	9.231207722
2010015L04Rik	7.302722809
2010107E04Rik	11.88466675
2010107G12Rik	6.820389866
